FRAU	Swiss Mrs., maybe
FETE	Luau, e.g.
RAHS	Stands roars
ARES	God seen on "Xena: Warrior Princess"
UPBEAT	Cheery
ASMAD	Comparable to a wet hen
ALG	H.S. subject
SEC	Dry, in Versailles
MAHAL	Taj ___
AVILA	St. Teresa's home
DELETE	Cut
PECS	They're developed by rowing
PST	L.A. sked abbr.
ETHNO	People: Prefix
CLEAN	Drug-free
SOFIE	Swedish mezzo Anne ___ von Otter
BEST	Whip
BARD	Robert Burns was one
ELMO	"Blondie" boy
SPEW	Gush
TORN	Conflicted
EARP	O.K. Corral figher
LEAVEN	Get a rise out of?
NICHE	Recess
STLO	Town on the Vire
ALPO	Nestlé pet food brand
THEBIGCHILI	1983 movie cause of heartburn?
INTACT	Solid
THEFARMER	With 119-Across, country lunch customer of song?
ALYCE	One of the King Sisters of 40's music
ESSEN	Ruhr industrial hub
ALECS	Baldwin, Guinness, etc.
SERVOS	Electronic control systems
NAILDOWN	Clinch
ATTILATHEHONEY	Sweet barbarian?
TRIO	Andrews Sisters, e.g.
IYAR	Month after Nisan
HOJO	Chain hotel, for short
NECTARY	Bee's target on a flower
NEST	Layer's lair
ECHO	Unoriginal reply
COOT	Crotchety one
EERO	First name in architecture
CLIP	Fleece
LANA	Actress Wood of "Diamonds Are Forever"
IMELDA	Mrs. Marcos
PAVLOV	Conditioned reflex researcher
ECO	System starter
CIAO	"Ta-ta"
ODO	Pope Urban II, originally
VJS	MTV hosts
SKORT	Culottelike garment
SEAMAN	Whaler, for one
SEDGES	Papyrus and such
NASTY	Vile
SHORTORDERCOOKIE	Fast-food snack?
ROPE	Weapon in the game Clue
ELIO	Film director Petri
RENO	City near Mt. Rose ski area
CONTACT	Get ahold of
IDAHO	Gem State
NEVA	River connected by canal to the Volga
TOTO	Movie dog
OLEOS	Vegetable fats
ODDBALLS	Weirdos
BAGS	They may be checked
PSIS	Greek penultimates
SOON	Presently
INVADE	Trespass on
SEETO	Take care of
INN	Wayside stop
RAGA	Hindu melody pattern
DOT	___-com
HAVEONEFOOTINTHEGRAVY	Be a klutzy chef?
HAMAS	Islamic militant group
ABATED	Let up
VERONA	"Romeo and Juliet" setting
FREED	Let out
IGOR	Borodin title prince
NOTI	"Forget it, Little Red Hen!"
RAGE	Spread unchecked
ABE	Globetrotters founder Saperstein
OVER	Past
AGO	Past
OSSA	Peak of myth
MARINATE	Do a kabob job
IMAN	Somalian model-turned-actress
SCOTT	"Dilbert" creator Adams
SNOOPS	Priers
TNT	Part of amatol
GAEL	Iona College player
ALTO	Like Woody Herman's sax
ELKO	Town ENE of 53-Down
LYON	Where the Rhone and the Saône meet
ATOM	Jot
DOESNTRINGABELLY	Won't fit, as a sash?
SULU	George Ade's "The Sultan of ___"
GALA	The Oscars, e.g.
ARAB	Graceful galloper
BAMBOO	Cane material
SENATE	Place for Cicero
TEPEE	It may be made of buffalo skins
DUO	Double header?
TARA	Early Irish assembly site
TKO	Certain win, for short
DANE	Explorer Bering was one
LOST	Gave the slip
STICK	Cane, e.g.
THEHAT	It may be passed
LAMPOON	Satirize
PYTHON	Beast that Apollo slew
PICKUPTHETABBY	Risk getting clawed?
INDIA	Forster subject
CLEWS	Miss Marple finds them
KYLIE	Novelist ___ Tennant
EVITA	1996 Madonna role
TECHS	PC troubleshooters, for short
MAIDENLY	Girlish
MISS	Overlook
ANON	Presently
ITTO	The Eagles' "Take ___ the Limit"
DHOW	Indian Ocean vessel
SIEVE	Strainer
OTHER	Additional
HOLE	Burrow
EPIC	Like "Star Wars"
RINK	Place to go for a spin
INTHEDELI	See 25-Across
INA	"___ minute"
CHICAGOHOPI	Midwest native American on TV?
AIT	Islet
GEE	"That's news to me!"
SOTO	"You Bet Your Life" sponsor De ___
IWIN	Game-ending declaration
KATHIE	TV's ___ Lee
OLIN	Giant chemicals corporation
SNOW	Kind of leopard or goose
ASEA	Offshore
TASTE	Predilection
NECK	Hourglass part
