BIOL	Frog-dissecting class: Abbr.
BREADS	Challah and baguettes
IAMNOT	"You are so!" preceder
ORANGE	What color is the black box in a commercial jet?
LEGUME	Pea, for one
BOSCH	"Ship of Fools" painter
BOBS	Short cuts
ORR	Bruins' retired "4"
STEWART	What is actor Stewart Granger's family name?
CHEAPO	For next to nothing, in slang
HODS	Brick carriers
MACE	Riot queller
MAHOGANY	Reddish brown
ALI	Clay, today
CAL	"Silent" prez
ESL	Adult ed. class, often
RARE	Pink, maybe
ORTHO	Lawn care brand
ALAS	"Such a pity"
EMAG	Slate, e.g.
BREEDSHILL	Where was the Battle of Bunker Hill fought?
SHA	___ Na Na
ANNULS	Makes invalid
LAREDO	Rio Grande port
WASHO	California Indian tribe: Var.
DOGMA	Seminary teaching
SAP	Drain
STIR	Recipe verb
AGATE	Cousin of a cat's-eye
ALDA	"M*A*S*H" star
TMEN	Eliot Ness and others
EARN	Bring home
STEER	What animal does a bulldogger throw?
TROU	Drop ___ (moon)
UTAH	The California gull is the state bird of which state?
ALMA	Soprano Gluck
EDIT	Get copy right
DOGS	For what animals are the Canary Islands named?
TENDER	Money
ERESTU	1974 Mocedades hit
ECUADOR	In what country are Panama hats made?
EGAL	Not différent
CARE	___ package
USIA	Former Voice of America org.
ALLSIZES	Nobody too big or too small, on a sign
MARYANN	What is George Eliot's given name?
MSEC	Fraction of a tick: Abbr.
GASLOG	It'll keep the home fires burning
ASHE	Queens's ___ Stadium
AVOCADO	What kind of fruit is an alligator pear?
ARIL	Seed cover
SEVE	Golfer Ballesteros
EMILIO	Actor Estevez
SHEEP	From what animals do we get catgut?
HIDEHI	Cab Calloway phrase
ELEVEN	How many colleges are in the Big Ten?
EDSELS	Ford failures
PETSIT	Take care of a neighbor's dog, say
LEAST	Smallest
TOE	Piggy
MOC	Soft shoe, briefly
TILDE	Part of São Paulo
IONIC	Column style
NASH	He wrote "If called by a panther, / Don't anther"
RUDEST	Putting up the greatest affront
RDAS	Nutritional amts.
NEWZEALAND	In what country are Chinese gooseberries produced?
NFL	Cowboys' org.
ERA	Cold war ___
WEB	Site for a site
NET	Site for a site
EVES	Times to call, in some want ads
FREE	Unoccupied
SIDEA	Deejay's interest, typically
HELI	Port opener?
LABS	Family dogs, for short
HOOTS	Very funny happenings
INST	The "I" in M.I.T.: Abbr.
