ALPHA	Highest-ranking, in some hierarchies
ASPIC	Glistening garnish
LORNA	First name of a Blackmore heroine
PLATS	Pieces of land
HIVES	Queens' homes
ADDRESSER	One on a podium, perhaps
ASIATIC	Kind of cholera
ALINES	Some garment cuts
SALTS	Puts (away)
INLY	Toward the center
ABA	Old hoops grp.
TABOURETS	Low stools
ILLOMENED	Unlucky
CLEOPATRA	Visitor to Rome in 46 B.C.
SOLIDS	Side in eightball
SACRISTY	Cleric's vesting place
ALANBALL	Best Original Screenplay winner for "American Beauty"
AMULET	Necklace option
PRAVDA	What Putin is often put in
MILLABLE	Like peppercorns
INTERCOUNTY	Regional
OOZE	Get through slowly
OOO	Game winner
CASSEROLES	Potluck array
HUMP	Good thing to get over
HAGUE	___ Tribunal (international arbitration court)
SIZES	9W and others
AREA	Gray ___
CHESSSET	Place for knights
CLASSICAL	Music genre
HAVEACASE	Be able to gather enough evidence
EPICVERSE	"Iliad," e.g.
SPATE	Avalanche
ARGENT	Silvery white
ANTIPOPE	Alexander V, e.g.
REHEELING	Cobbler's job
LAPPET	Small flap on a garment
NEUTER	Like worker bees
AVIARY	One may have stilts
BETHESDA	Naval Medical Center locale
BESTED	Beat
ERST	While lead-in
SECT	Divergent doctrine developer
AERIE	Place for the high life?
AISLES	Some seats are next to them
SAVE	Commercial catchword
MISSPELLED	Like hors d'ouevres
MASSY	Large and heavy-looking
LETGO	Axed
LAMIA	1819 Keats poem
EVERT	Turn outward
DENTS	They may be pounded out
ICE	It may be crushed
LASTTOLEAVE	There until the bitter end
LISA	Heroine of Tchaikovsky's "Pique Dame"
CARLISLE	Pennsylvania city where Franklin signed a treaty with Indians, 1753
LEW	Two-time Wimbledon winner ___ Hoad
PITMEN	Miners
ASSESSED	Taxed
ENGIRT	Surrounded
LEEWAYS	Margins of safety
GOATS	Victims
