BAND	Wedding entertainers
BOMBAY	Its port is known as the Gateway to India
AVIATE	Pilot
NELSON	Ozzie or Harriet
DRAIN	Sink feature
CASKS	Wine containers
CBER	Many a trucker
ALMA	___ mater
SEPT	Back-to-school time: Abbr.
KATHY	Oscar winner Bates
SKYBOX	V.I.P.'s seating locale
AGED	Like fine wine
ALAN	Fed chairman Greenspan
GAMEPLAN	Coach's strategy
EKE	Squeeze (out)
DEN	Cub's home
OVER	"Your turn," to a 5-Down
BLEAK	Cheerless
LAKE	Trout's home
MILA	Leon Uris's "___ 18"
EMPTY	On "E"
AMEN	"You got that right!"
BASILRATHBONE	Sherlock Holmes in "The Woman in Green"
LETEM	Gershwin's "___ Eat Cake"
OOF	Response to a punch in the stomach
ATONE	When to return from lunch, maybe
YOO	"___-hoo!"
PHI	___ Beta Kappa
HERE	Roll call response
ISAY	Mary Higgins Clark's "Before ___ Good-Bye"
YEN	Hankering
TABS	Place holders
ALA	In the manner of
BERG	Chunk in the Arctic Ocean
STYES	Eye sores
XFILES	Alien landings, telepaths, etc.
ICON	James Dean or Marilyn Monroe
DELETE	Computer key
DENT	Job for a body shop
ECRU	Beige
CARA	Italian dearie
ROSEMARYCLOONEY	Betty Haynes in "White Christmas"
RIFE	Widespread
OVAL	White House office shape
SACKRACE	Company picnic activity
LMN	K-O connection
OAKEN	Like some old buckets
IVAN	First czar of Russia
GERMAN	Like sauerkraut and strudel
FACTOR	Ingredient
ODE	Flowery verse
RUMBLE	Gang fight
SUNK	Bankrupt
AWE	Great respect
ADHERE	Stick (to)
WEAKEN	Undermine
ERNEST	Frank's partner in the comics
ELK	Antlered animal
DUO	Batman and Robin, e.g.
OCEAN	"Wavy waste," to Thomas Hood
ELDER	Old-timer
LAPIS	___ lazuli
RUEMCCLANAHAN	Blanche Devereaux in TV's "The Golden Girls"
URAL	Russia's ___ Mountains
CARD	Cutup
LUGE	Downhill racer
AXED	Canned
AJAR	Close to closed
AMA	G.P.'s grp.
JIB	Sloop's sail
BEAUX	Gentleman callers
PEKE	Small dog, informally
MICA	Isinglass
LARGE	Egg size
IRES	Makes angry
ABEL	Labor leader I. W. ___
ENDED	Ceased
SENT	Mailed
