ADAMSALE	Water, facetiously
ALIT	Got out (from)
DINO	Rat Pack name
ANDY	Cap'n ___ of "Show Boat"
MCI	AT&T competitor
SHANGRILA	Utopia
APNEA	Concern for some sleepers
LITER	Carafe size
ENE	Suffix with menth-
TOASTS	They may be given by wedding guests
TURQUOISE	Bead material
OPIUM	Painkiller
ARTIS	Cager Gilmore
SOON	Before you know it
TORO	Tuna belly, at a sushi bar
STYX	A tenth part of the waters of Oceanus
LINCHPIN	Mainstay
UPROOT	Dislodge
INDIANTERRITORY	Site of a land rush, once
RESOLES	Extends shoe life
TOY	Miniature
NEE	Society page word
EQUINOX	Spring time
AGAR	So-called "Chinese gelatin"
AERIE	Hawk's home
SUMS	See 24-Across
ADDER	One who does 23-Across
AMALE	"No more mercy in him than there is milk in ___ tiger": Shak.
DAVIS	Benjamin ___, first black general in the U.S. Army
DRAKE	Sitting duck, maybe
GOO	Melted caramel, e.g.
GENUS	Trivial Pursuit edition
UAR	Brief Mideast alliance: Abbr.
UNFIX	Detach
ASORE	"That's ___ subject"
REFER	Send for consultation
MARRIAGELICENSE	Need for wedding parties?
ASHBLONDE	Hair color
GOOBERS	Peanuts
CEASELESS	Never-ending
ELFIN	Fey
AVAILSONESELFOF	Uses
LIKEAHOUSEAFIRE	Hotly
ESE	Argot suffix
BBS	Shot
SIXER	Seventy-___
GALE	Kind of force
GATES	Airport choices
ANENT	Concerning
OWEN	Writer ___ Wister
OVOID	Not perfectly round
WORDY	Going on and on
ELEANOR	Queen of Henry II
ELIA	Literary pseudonym
LIND	The Swedish Nightingale
ESTE	Renaissance art patron
VOL	Remote abbr.
ISO	Metric starter
ISEE	"Oh"
SONY	Big name in electronics
ONUS	Something borne
LISTENSTOREASON	Shows levelheadedness
TKO	Ring call
AMS	Clock radio settings (in two ways)
INTEND	Have in mind
KIDSMENU	Burger, pizza and hot dog listing, maybe
ADESTE	Carol opener
ODYSSEYS	Epic journeys
