PLUMP	Like a Thanksgiving turkey
PGA	Links org.
LAMB	Souvlaki meat
UTIL	Gas, e.g.: Abbr.
META	Intro to physics?
PSYCHE	It contains the id
STEW	Some of this and some of that
STEEP	Tough to climb, perhaps
TORY	Whig's rival
EDGE	Add a fringe to
WOODSY	Suggestive of a forest
DIVA	Met star
DOZEN	Egg purchase
ILIAD	Tale of Troy
VINCE	Coach Lombardi
ANGER	Rile up
GATES	Boarding areas
TODO	Commotion
OLIN	Lena of "Chocolat"
AMITY	Friendship
ERGO	Descartes's "therefore"
ZING	Hurl an insult at
BLACKEYEDPEACE	Truce after a fistfight?
KORAN	Imam's book
PAEAN	Song of praise
HOP	Short flight
SANDER	Smoothing tool
JESTER	Court cutup
JEDI	"Star Wars" warrior
EBON	Black, poetically
SAWN	Cut, as a log
TYNE	Newcastle's river
SKYE	Terrier type
SINUS	Skull cavity
KNEE	Where pants may be worn
EBAY	Site for cyberbidders
ADIN	Point after deuce
DOSE	Two caplets, say
AMPED	Intensified, as sound
MILE	Distance not run in the Olympics
PEON	Working stiff
ECOL	Tree hugger's subj.
DENY	Declare untrue
DOWNONONESNIECE	On the outs with a relative?
ORING	Circular gasket
STEAL	Super bargain
INNER	___ tube
SUET	Tallow source
LOON	Nut job
ICES	Cool treats
COHERE	Stick together
EVENLY	Leaving no remainder
VEEJAY	MTV figure
STERNO	Caterer's heater
SMART	Like some bombs
TYLER	Tippecanoe's mate
EDDIE	Vaudeville's ___ Foy and the Seven Little Foys
ROONE	TV exec Arledge
NAE	Dundee denial
NFLER	N.Y. Jet or Phila. Eagle
MYDOGHASFLEECE	Genetic engineer's observation about his pet?
AVOW	Admit openly
SITE	Place to build
EIRE	Home for the Murphys and O'Connors
CHIN	Gossip
EAST	Biblical star locale, with "the"
ALDO	Designer Gucci
EVIL	Villain's work
JIHAD	Islamic holy war
DEL	Actor Benicio ___ Toro
REIN	Pull (in)
ROTE	Boring way to learn
ARISE	Come to mind
TREE	Arboretum sight
EWER	Ornamental vessel
YENTL	Title role for Streisand
