MATT	Actor Damon
MAD	"Spy vs. Spy" magazine
ARE	"You ___ here"
TIESONEON	Gets soused
TART	Pucker-producing
STEAL	Great buy, slangily
STILES	Metro entrances
TENLB	Potato sack wt., maybe
ESTE	Renaissance family name
ALER	K.C. Royal, e.g.
LALALAND	Space cadet's place
SAIL	Go yachting
SENDAK	Author/illustrator Maurice
ATEAM	First-stringers
ITALY	Europe's "boot"
LULL	Quiet time
ARIA	Met solo
TESLA	Inventor Nikola
ETTU	Ides of March utterance
DEER	Timid creature
INTEL	Big name in chips
NEAL	"Hud" Oscar winner
STILLERANDALL	Actor Ben with the gang?
INEPT	Like a stumblebum
NON	___ compos mentis
SLO	___-mo
SMASH	Not just a success
LITHE	Like a ballerina
NEB	Cornhusker State: Abbr.
LOAMY	Like good soil
MINCES	Chops to bits
CUR	Despicable sort
SWANK	Best Actress winner for "Million Dollar Baby"
SEALY	Serta competitor
WAND	Harry Potter accessory
ATEUP	Really enjoyed
DEAN	Democratic honcho Howard
DRIP	Icicle former
GAS	Roadside sign
GETTOKNOW	Become familiar with
AESOP	Fabulous author
STYNE	"Funny Girl" composer Jule
SHORTERANDSWEET	Marathoner Frank with candy?
EGOTRIPS	Voyages in vain?
SPINE	Place for a title
WAS	Used to be
HEN	Layer?
GILD	Richly adorn
PATSY	Easy mark
LOOPY	Nutty as a fruitcake
LATEST	Up-to-the-minute
ONE	White Monopoly bill
PISTON	Motor City hoopster
POPEYE	"I yam what I yam" speaker
GIANT	Mel Ott, notably
GUISE	False front
INDEX	Encyclopedia volume
EON	Several eras
EDGER	Landscaper's tool
OPE	Unlock, poetically
HUNTERANDPECK	Novelist Evan with a small smooch?
HAUT	___ monde
AMEN	"You said it!"
NATO	Defense grp.
CUTS	Roster removals
AIDE	Man Friday, e.g.
IMAGE	Publicist's concern
UNIT	Workbook segment
IRA	Lyrical Gershwin
TOP	Blouse, e.g.
USES	Puts into play
PETEY	"Our Gang" dog
TORO	Mower maker
TEXT	Document content
SNORE	Dorm annoyance
SWAP	Cashless deal
