GAME	Tiddlywinks or tag
GAS	Windbag's output
AVOCADO	Guacamole need
MOURNED	Lamented the loss of
ENRON	Energy company that filed for bankruptcy in 2001
SCRAP	Leftover cloth bit
SPRY	Energetic for one's age
CIA	Org. in "The Bourne Identity"
REPRO	Copy, for short
ATEUP	Enjoyed immensely
PASSBY	Elapse
LEMS	Moon-landing vehicles, for short
LSD	'60s hallucinogen
EMERALD	Valuable green stone
MELINDA	Bill & ___ Gates Foundation
SEABASS	"Chilean" fish
AVON	The Bard of ___ (Shakespeare)
PIETA	Michelangelo masterpiece
SMEE	"Peter Pan" pirate
SOURGRAPES	Reaction of a sore loser
GNAW	Munch on like a mouse
DELA	Boxer Oscar ___ Hoya
CRONY	Bosom buddy
RUSH	___-hour traffic
HAITI	Jean-Bertrand Aristide's country
RIB	Lung protector
MANNA	Food from heaven
MOS	May and June: Abbr.
TOPBANANA	Head honcho
THORN	Locust tree feature
NEATO	"That's swell!"
ODE	Shelley's "___ to the West Wind"
WAH	Cartoonish baby cry
ALA	Lobster ___ Newburg
YIELDS	Gives in (to)
SODA	Scotch and ___
ABOVO	From the beginning, in Latin
LOOT	Rioter's haul
OFA	Arthur Miller's "Death ___ Salesman"
TRESS	Lock of hair
TADAS	Triumphant cries
BEARFRUIT	Be productive ... or what the answers at 17-, 25-, 53- and 63-Across do?
ERINS	Brockovich and Moran
USA	It's between Can. and Mex.
ABHOR	Hate
ATLARGE	On the loose
BREWERY	Anheuser-Busch, for one
HAMSTER	Pet with cheek pouches
NAES	Highlands denials
OOHS	Sounds of amazement
ONADIME	Words after stop or turn
HOLYCOW	"My heavens!"
STA	RR stop
TRAVIS	Country music's Tritt
SLACKS	Pants that are dressier than jeans
SAG	Mattress problem
GORY	Graphically violent
NOT	"Just kidding!"
LEMONLAWS	They protect car buyers
ASHOT	___ in the dark
WHERE	Question of location
OCALA	City NW of Orlando
CAPOS	Mafia bosses
AWS	Reactions to adorable babies
SASH	Accessory that might say "Miss Universe"
BRADY	"The ___ Bunch" of 1970s TV
BRAM	Stoker who created Dracula
RETD	AARP part: Abbr.
DYE	It may have made a blonde blonde
CHERRYPICK	Select the best and leave the rest
REA	Stephen of "The Crying Game"
KOS	Bout enders, briefly
GREY	Earl ___ tea
KOREA	Seoul's home
OMOO	Melville work set in Tahiti
EYRE	Brontë's Jane
STEAM	Boiling indication
SEWS	Puts in stitches
