MENSA	High-I.Q. group
MATA	___ Hari (W.W. I spy)
ETON	School for Prince William
NONO	Taboo
SLEDGE	Heavy hitter
ALDERMEN	Municipal lawmakers
PITT	Pennsylvania university, for short
PEC	Chest muscle, for short
ICHAT	Popular Apple communication software
THUMBS	Hitchhikers' digits
TORERO	Caped fighter
REDO	Change, as the décor
RAH	Word of cheer
EVITA	The second Mrs. Perón
DELHI	Indian city of 12+ million
ORLON	Acrylic fiber
ATOLL	Island with a reef
ECHO	Sound in a cave
AVER	Allege
TONED	Got fit, with "up"
CHURCHILL	23-Across's representative in the 38-Across
CRIB	Place for a mobile
ANODE	Battery terminal
AMER	The New World: Abbr.
THO	Howe'er
GREATBRITAIN	One of two parties to 38-Across
EAST	90° from north
ANTI	One who hasn't turned pro?
TSAR	Old Russian monarch
FIREMAN	He can go to blazes
FLAB	Spare tire
IOTA	Not one ___
ROLL	Somersault
SOBS	Cries convulsively
LOO	W.C. in London
ESTA	"Cómo ___?"
ACT	Do something
ASTA	Dog in "The Thin Man"
STAG	Antlered animal
TERN	Seabird with a forked tail
ARIA	Opera solo
ATLANTICCHARTER	Declaration of August 14, 1941, regarding peace aims after W.W. II
AINT	Fats Waller's "___ Misbehavin'"
COLA	Pepsi, e.g.
HEAT	Summer woe
ASSESSED	Evaluated
BALI	Island east of Java
TOES	"Little piggies"
ARI	"Exodus" hero
NCAA	Scholastic sports grp.
CEDE	Give up
ADEVIL	Have ___ of a time
ASSERT	Declare
LASAGNA	Common entree at a potluck dinner
ASHORE	On the beach
UNITEDSTATES	One of two parties to 38-Across
UNRIP	Tear open, as seams
NOOSE	Loop with a slipknot
IDOLS	Hero types
TILED	Like most bathroom floors
NOD	Silent assent
DESI	Arnaz of 1950's TV
SHEBA	Biblical land with a queen
EWES	Wool coat wearers
BECK	Call's partner
ARTS	Word with liberal or martial
ROOSEVELT	52-Across's representative in the 38-Across
SET	Call between ready and go
TDS	Six-pointers, for short
SOWER	Spreader of seeds
ISLE	___ of Wight
IRED	Plenty mad
ERECT	Build
PEST	Mole, to a gardener
LTDS	Bygone Fords
DESKS	Library stations
