CBS	Breakers communicate with them
CHEECH	Half of a 1970s-'80s comedy duo
BITTHED	Went kaput
SECRECY	Opposite of openness
DOFFS	Medevacs, in military slang
DUP	Quarrel
OREOS	Treats often taken apart
FINS	Scuba gear
FATAH	Palestinian group
SHAKO	Cadet's topper
SAWD	Shop coat?
SOD	Plot thickener?
ATABOIL	Very, very hot
WIDENED	Like some highways after construction work
DCOVER	Furniture protector
HIES	Gets a move on
SHEETS	What rain might fall in
URIAH	Officer slain in the Old Testament
OTIC	Ear-relevant
ETCH	Sharply outline
PENTA	Prefix with -hedron
DADO	Carpenter's groove
ETRE	Avignon infinitive
OSAKA	City of canals
ARTICLEI	It contains the elastic clause
BEV	Roseanne's mom on "Roseanne"
CHEESES	Things wheeled in supermarkets?
SOPPEDUP	Absorbed
ERROR	Debugging discovery
HORMONE	Kind of therapy
MRE	C ration replacer
HECTOR	Cow
TRIER	Judge, e.g.
DYSPRINGFIELD	Rock and Roll Hall of Fame inductee known as the White Lady of Soul
ILS	They, in Marseille
NIT	Thing to be picked
GTE	Former telecom giant
FILCH	Cop
POLITIC	Tactful
INTERSTELLARD	Nebulous stuff
IRIDIUM	Metal in the points of gold pens
NETZERO	EarthLink alternative
TET	It's celebrated in late January or early February
ALPHAS	Socially dominant ones
RESOLED	Put a new bottom on, in a way
DBUSTER	Black & Decker offering
CREED	Words to live by
CHALKD	Classroom sneeze elicitor
CELEBS	People people
SPEEDY	Express
HITTUNE	Billboard listing
NEALS	Country singer McCoy and others
ENDIT	Get divorced
WHIPSUP	Puts together in a hurry
WEBER	Grill brand
ADZ	Wood smoother
PENNE	Food whose name is Italian for "feathers"
NOVA	Astronomer's study
HOSE	Rip off
LIES	Cry of vehement denial
STP	Motor Up alternative
ADOBE	Reservation dwelling
END	Cleaning product with the slogan "It's that fast"
ALTE	Aged Frankfurter?
KURT	Maestro Masur
LIVEN	Make more interesting
SEED	Future shoot
DMOP	Janitorial tool
STARD	Big band era standard
DRY	Kind of ice
