DFIGHT	Big scrap
DPATCH	Classic comic strip setting
FACADE	Artificial appearance
INCISE	Make cuts on
GAUL	Locale of ancient Aquitaine
HRS	Time pieces?: Abbr.
TAEBO	Karate-like exercise system
OHS	Cries at a circus
OPS	Suitable times, briefly
HOTD	Showoff
SLIEST	Most cunning
ISM	Fanatic finish?
INTRIGUE	Cloak-and-dagger doings
STEEPER	Not as cheap
MADDENS	Drives up the wall
PANARAB	Like some Mideast politics
BRATS	Sitters' challenges
POLENTA	Mushy Italian dish
ELAN	Joie de vivre
ACCUSER	Plaintiff
STILTED	Wooden
TAIL	It may be docked
BAH	Word from a killjoy
HANGDLOOK	Sad face
DEARED	Shabby
CDS	I.R.A. options
IOTAS	Smidges
ISNT	Lacks life
SOPH	School year, for short
SNIPE	Attack anonymously
HEEDS	Obeys
DINT	Force
SNORT	Sound of contempt
ROOM	Apartment part
GEN	___-X
INC	Company abbr.
CHIP	Computer component
GPO	Main mail ctr.
OURS	Not just mine, say
OSSA	Neighbor of Olympus
INTHEDHOUSE	Out of favor
INTERRED	Laid to rest
ESOS	Those, to José
USSR	Former "evil empire"
LENT	Solemn stretch
LEADSTO	Results in
ENTICED	Roped in
ISL	Part of some chains: Abbr.
MSS	Authors' offerings: Abbr.
ENT	Tolkien tree creature
SPOOF	Takeoff
STYLES	In things
FLEUR	Bordeaux bloom
SAMBA	Carnaval dance
METRIC	Like liters and grams
BLOTCH	Stain
ALPHAD	Leader of the pack
ATEAT	Really vexed
ATOP	Surmounting
SOLAR	Kind of energy
AGNEW	Ford replaced him
ELL	Building addition
DIRTYD	Scoundrel
DLEG	Golfer's challenge
KEG	Suds dispenser
STOP	"I don't want to hear any more!"
SALT	It may be added in a dash
SCROLLS	Torahs
SST	Noisy streaker
UNEARTH	Dig up
EPA	UV index tracker
TEEPEES	Crows' homes
REPLICA	Copy
ODD	Unpaired
SGT	N.Y.P.D. figure
WATCHD	Ralph Nader, notably
