EPPIE	"Silas Marner" foundling
EFFS	Pair of ruffians?
PRAT	Rear end
PESO	Coin with a profile of José María Morelos
IDTAGS	Conference clip-ons
ERO	Suffix with ranch
AMPS	They're schlepped on tours
AGEISTS	Ones prejudiced against 125-Across people
MEDE	One subjugated by Cyrus the Great
PREFAB	Kind of housing, for short
SSN	1040 datum: Abbr.
NIGEL	Bruce who played Watson in Sherlock Holmes films
NONE	Bar ___
ICAN	Self-motivational mantra
GUSTAV	Composer Mahler
ELAPSE	Slip by
LILAC	Eye shadow shade
PEER	Equal
PARKPLACE	Property that costs $350
ELOI	Patron saint of goldsmiths
ESPN	Where to find "Baseball Tonight"
ROEG	Nicolas who directed "The Man Who Fell to Earth"
FREDROGERS	PBS figure from 1968 to 2001
OFFENSE	Umbrage
OCULI	Eyes
ALSO	As well
FASTOFEDEN	Cause for Adam to refuse the apple?
NASAL	Congested-sounding
ROPE	Weapon in Clue
STOA	Feature of some Greek buildings
FIEF	Feudal holding
TENTPACKING	Precamping preparation?
TALIA	Shire in Hollywood
CACHE	Treasure hunter's find
GRES	Tests for srs.
ROUE	See 110-Down
ATA	One-time connection
TENERIFE	It's WNW of Grand Canary Island
ASCAP	BMI rival
SEASONTOBELIEVE	Christmas, for Christians?
STATIC	Interference
ELTORO	Figure at una corrida
ACTFOR	Represent
ORDS	Municipal laws: Abbr.
IBM	Maker of the trivia-playing computer program Watson
ESOS	Those, in Toledo
CLAIM	Alibi, e.g.
ATRI	Longfellow's bell town
ISON	"The heat ___"
MOPE	Look down
TLC	Antique restorer's need, for short
USSR	Locale in a 1968 Beatles song
NIBS	Beaks
THATSO	"Really?"
THESON	Trinity component
ATTLEE	British P.M. during the creation of Israel
LUNN	Sally ___ (teacake)
DREAMOFTHECROP	Bountiful harvest?
RILE	Agitate
FLAT	Needing tuning, maybe
TOPHAT	Mr. Peanut prop
TOFU	Good source of protein
ASIR	Saudi Arabian province
ANTLER	Hunting lodge decoration bit
SLOE	___ gin fizz
EINE	Article in Die Zeit
IRONMAN	Robert Downey Jr. title role
MOA	Bird that is no more
ANYHOW	"As I was saying ..."
LIMO	Prom rental
MOC	Casual slip-on, casually
OUTLINES	Plans
APSE	Place to pray
EFT	Young newt
CORNONTHEFOURTHOFJULY	Independence Day barbecue serving?
HAWN	"Cactus Flower" Oscar winner
ROAN	Alternative to chestnut
JOAD	1940 Fonda role
UNSURE	Hesitant
LISSOM	Willowy: Var.
YANKEE	Ruth, once
AYLA	Auel heroine
ECTO	Prefix with plasm
ANTONIA	Girl in a Willa Cather title
SPCA	Shelter grp.
SHES	Does, say
POST	Blog comment
COCO	First name in fashion
ADHOMINEM	Personal
HEWN	Cut
NOTV	Alternative to grounding
LAIT	Serving with gâteau, maybe
IGER	Media exec Robert
ASSN	P.T.A. member?: Abbr.
HOODFORNOTHING	Unnecessary part of a jacket?
FELON	Person with a serious conviction
TOE	Sandal's lack
HOMES	Great Lakes mnemonic
ATDUSK	When streetlights go on
AGELONG	Eternal
TOAT	Perfectly
ESCHEW	Refuse
TOON	The Road Runner, for one
EGGO	Freezer brand
GLACIER	There's a national park named for one
ROE	Caviar
STOOL	Makeshift stepladder
MOVEMEORLEAVEME	Ultimatum from a spouse who wants nicer digs?
MABELL	Old phone company nickname
ODORED	Scented
OCTANE	Station identification?
VIAGRA	Alternative to Cialis
MONAD	Single-celled organism
NGAIO	Marsh of mysteries
ESC	PC key
ALTI	Some chorus members
NIXINGBOWLS	Refusing to watch football on New Year's Day?
NOPE	"Uh-uh"
IMAX	Big picture?
XENA	Lawless role
WINE	Shiraz, for one
LEER	Look from a 31-Down
TACO	Tijuana fare
ATRA	Gillette product
ABEL	Genesis victim
BADU	"On&On" singer Erykah
EMTS	CPR experts
LEOS	Some summer births
OMEN	1970s-'80s horror film franchise, with "The"
AERIE	Lofty retreat
EATINGGAME	Nathan's annual hot-dog contest, e.g.?
EIS	Winter hazard in Munich
GAG	Stand-up staple
PANE	It may be framed
ILENE	___ Chaiken, creator and writer of "The L Word"
INREGARDTO	Concerning
EXAM	Eye ___
OLDER	Grayer, perhaps
SEAR	Scorch
GAUSS	Magnetic induction unit
