ANIM	Lively, in mus.
ATTIC	Place for a fan
NOONAN	Writer Peggy known for the phrase "a kinder, gentler nation"
INESSE	Actually existing
MINUET	Stately dance with short steps
BASIC	101, in a course name
BAITS	Tempts
ALLSTAR	Elite athlete
SIC	Error indicator
IAL	Suffix with adverb
CSI	Hit TV show with the theme song "Who Are You"
NEMO	"Little ___ in Slumberland" (pioneering comic strip)
NAPOLI	Port west of Monte Vesuvio
EDEN	Fall setting
MARKS	A, B and C
OMS	Mantra syllables
BIPED	One on two feet
BEDROOMEYES	Come-hither look
ILIED	Coming-clean words
PADDEDENVELOPE	Protective mailer
ENO	Music producer Brian
DDS	License to drill?: Abbr.
TONI	Literature Nobelist Morrison
ALIAS	Word on a wanted poster
ADAM	He's seen on the ceiling of the Sistine Chapel
ELAND	Serengeti grazer
TOENAILCLIPPERS	Pedicurist's need
ALYSSA	Milano of "Who's the Boss?"
PHENOL	Carbolic acid
DIDOS	Antics
INSULTS	Zingers
HONK	Toot one's horn
FRED	Scrooge's nephew in "A Christmas Carol"
FRIENDS	Top-rated TV series of 2001-02
CASEYSTENGEL	Wearer of uniform #37, retired by both the Yankees and the Mets
EVE	Consort of 21-Across
NITTI	Capone henchman
GOTEM	"They're in my hot little hands!"
STRODEIN	Entered pompously
TREO	BlackBerry rival
IONIA	Land of Ephesus
NODAT	Acknowledge tacitly
NETS	Clears
AVIONIC	Relating to flight technology
CAPITA	Heads in the Pantheon?
RIO	Carnival site
DOO	"Inka Dinka ___"
STRETTO	Close overlapping of fugue voices
TYPE	Variety
AKEEM	Prince ___, Eddie Murphy film role
KHAYYAM	Poet Omar ___
END	Caboose, e.g.
ATPLAY	Frolicking
AABA	Rhyme scheme of "Stopping by Woods on a Snowy Evening"
TROI	"Star Trek: T.N.G." counselor Deanna
PINSTRIPEDSUIT	Some business attire
LAALAA	Yellow Teletubby
TELEPHONE	Whispering party game
ERIK	Composer Satie
NIA	Vardalos of the screen
ARIA	Diva's delivery
PURIM	Holiday celebrating deliverance from Haman
USS	Letters before many a state's name
RELEARN	Brush up on
RIA	Narrow inlet
DYEVAT	Textile factory fixture
ERASER	Whiteboard cleaner
BONA	___ fide
ESE	Lingo suffix
PITY	Unfortunate development
PSY	Subj. that deals with mixed feelings
SERE	Bone-dry
AISLE	Divider of wedding guests
EMPTYHANDED	Bearing nothing
SLUTSKAYA	Champion figure skater Irina
UNADON	Japanese eel and rice dish
TRAG	"King Lear" or "Hamlet": Abbr.
ARM	Boxer's measurement
SALAD	Leaves for lunch?
ALIT	Touched down
DOCS	Medics
TAMA	Author Janowitz
ATHEIST	Nonbeliever
ENRY	Professor 'iggins
ART	Picassos and Pissarros
TABU	Classic Dana fragrance for women
SOLO	55-Across, e.g.
ENRAPT	Bewitched
EMMYS	Representations of a winged woman holding an atom
NIVEA	Big name in skin care products
AAA	Penlight battery size
GAMMA	___ radiation
GAMUT	Entire range
ARARA	Amazon parrot
EPIC	DeMille output
MII	Early millennium year
THIRDGEAR	Manual transmission position
ISEE	Opener for a crystal ball gazer
EATOUT	Dine at a diner
BERETS	French dome toppers
ESHARP	F equivalent
MVP	Big shot after making a big shot, maybe: Abbr.
YESNO	Kind of question
AMADEUS	Peter Shaffer play based on the lives of Mozart and Salieri
DAT	Not dis
ELOCUTE	Declaim
YEE	"___-haw!"
HIE	Make haste
NATURAL	Like sugar vis-à-vis Equal
APPROX	Estimated: Abbr.
HIST	H.S. subject
ISOMER	Chemical cousin
SHLEPP	Lug: Var.
TELNET	Online protocol for remote log-in
SADCASES	Heartbreaking situations
CEASE	Discontinue
SOPUP	Absorb
POTATOMASHER	Kitchen implement used with a little muscle
MOIST	Like lip-glossed lips
RATES	Deserves
SENT	In the mail
OGPU	K.G.B. predecessor
GORE	Cause for an R, perhaps
COROLLA	Popular Toyota
SQUAD	Users of 118-Across
SGT	Badge holder: Abbr.
QUO	Status ___
SPORTSEQUIPMENT	Bats, balls, gloves, etc.
SEA	Main
SPA	Day ___
EOS	Dawn goddess
QTS	Divisions of gals.
GUISE	False appearance
EURO	Capital of Italy
POTTS	Annie of "Ghostbusters"
EPEE	Blade of Grasse
TOTED	Lugged
APEX	Zenith
ASSET	Company-owned building, e.g.
RPTS	Sch. research papers
