PIRATESHIP	Plank's place, perhaps
PORCINE	Like some pen residents
INERTIA	Lack of get-up-and-go
RECOILS	Shows alarm
ATOWN	Nevil Shute's "___ Like Alice"
TONE	Pitch
EOS	Selene's sister
SMILER	Happy sort
HADAGO	Tried, with "at"
INEDIBLE	Spoiled
PYRES	Lighted stacks
REID	Nevada's Sen. Harry ___
RASPBERRY	Show of disapproval
ENLARGE	Blow up
INITIAL	OK, in a way
DAMSEL	Producer of a distress call?
ONETOOMANY	What a tippler might have
ANNA	"___ Imroth" (Sandburg poem)
RECONSIDER	Think about changing
SLIM	Scanty
CROWE	"Jerry Maguire" director
LADE	Put on
PATS	They may be directed toward the back
ITIN	Pack ___
REGIS	First name in game shows
RARER	Done less?
BRIE	Cracker topper
NIL	Nada
CAROB	Health store snack bar ingredient
CERES	Astronomical discovery of 1801
LEGAL	OK, in a way
LUGES	Olympic racers
EASTER	Fast follower
TATERTOTS	Ore-Ida product
LAUREL	Certain crown material
ANKHS	Egyptian symbols of life
AREA	Zoning board calculation
ANTIGONE	Sophocles tragedy
ENGR	R.P.I. grad, perhaps
ASTERN	In the rear
ANTENNA	Wave catcher
STANDIN	Double
KEYPAD	It may be at your fingertips
PARTIAL	Not full
ACETONE	Polish remover
DEPENDS	"That ___..."
ANTES	Some games require them
ASSIST	Respond to 56-Across
TECHS	PC support staff
ENAMEL	Crown coverer
CARMEL	West Coast artists' colony site
ACE	Crackerjack
STAR	A film might receive one
TINAS	Louise and others
TACIT	Like some agreements
PREP	Ready
PASHA	Muhammad Ali was one
SENT	On its way
AGAR	Biology lab supply
LATTE	Caffeinated concoction
LSAT	Future atty.'s hurdle
INDO	European leader?
COMMISSION	Some people work on it
IDS	Tags
SNIT	Pet
INEEDAHAND	"Some help would be nice, folks!"
TANS	Some vacationers' acquisitions
TELLSTALES	Emulates Scheherazade
