RAG	Dust remover
RELAPSE	Problem during convalescence
ACETATE	Overhead projector sheet
GOAFTER	Chase
UMBRA	Shadow
USERS	They open Windows
MARS	Pathfinder explored it
BLOT	Part of a Rorschach test
REF	Whistle-blower
AMTRAK	Vermonter operator
ODORS	Locker room features
ODELL	1961 Newbery Medal winner Scott
DIPLOMAT	One of many hats worn by Benjamin Franklin
OVA	Gametes
REC	___ room
SST	Streak in the sky, for short
ECO	Author Umberto
SALEM	"The Crucible" setting
DIVES	Pretends to get K.O.'d
LEADEROFTHEPACT	Peacemaker?
DIEM	Carpe ___
HOLECARD	Unrevealed asset
ATFIRST	To begin with
ROLL	"Let's ___"
PATES	Noggin tops
HALLOWED	Sacrosanct
HASBEEN	Former leading light
WAR	Failed negotiation result
EGG	Humpty Dumpty
DIE	Conk out
STEM	Originate (from)
FLAKE	Eccentric type
FOURSTAR	High-quality, as a film
LEM	Landing craft: Abbr.
MAGI	They navigated by a star
EER	Always used by a poet
TOES	Stocking tips
THU	Opening day of the Masters: Abbr.
CHARGE	Accusation
HCL	Stomach acid, symbolically
THUMBTACT	Suavity that helps one hitch a ride?
TOOLSHED	Backyard sight
TAE	___ Bo (workout system)
DETOUR	It may go around the block
DOS	Coiffures
ELK	Antlered animal
TEE	Buttonless shirt
EARL	Viscount's superior
PMS	Canadian electees, for short
PROSAIC	Blah
MOROCCO	Home of the Atlas Mountains
SCENTED	Like some candles
OLEO	Butter substitute
STEED	Charger
TOPICS	Debaters' needs
CROC	Riverbank predator
CORR	Fixed by an ed.
SKELETON	Halloween display
EWERS	Pitchers
MOORE	Bond player, once
MATEY	"Ahoy" recipient
SWAP	Kind of meet
PEARSON	Major British publisher
PHIL	Silvers who played Sgt. Bilko
ETNA	Sicilian erupter
ONTHERIGHTTRACT	Like a good building developer?
OFF	Amiss
NEO	Prefix with lithic
TWO	Wee hour
GAP	Interstice
FEWER	Like two, to four
CAINE	Oscar winner for "The Cider House Rules"
ICE	Diamonds, slangily
FOODS	Meat and potatoes
SPLAY	Turn outward
COD	New England catch
