RADAR	Area sweeper?
RID	Free (of)
ARE	Exist en masse
DEI	"Agnus ___"
ANGLER	One who's casting about?
RENEGED	Broke a promise
ACDC	Flexible, in a way
ASST	Like certain profs.
CLII	Second-century date
DOGSIT	Goldbricks
CENTRI	Middling beginning?
PAWS	Isn't gentle with
PERANNUM	How some interest is paid
ATARI	Arcade pioneer
WASTE	Not be frugal
SLAYS	Emulates St. George
IRENE	___ Castle
SLOE	Sour fruit
ETAL	Substitution in a list
DEIGN	Condescend
SIGN	Endorse
RASA	Tabula ___
LEFTISTPARTY	Radicals' bash?
FOCI	Convergence points
POOP	Lowdown
DIEGO	Muralist Rivera
DAMON	Friend of Pythias
IDIOT	Blithering sort
IRONIES	O. Henry plot twists
BADRECEPTION	Excellent hip-hop affair?
BABA	Cake with a kick
EVE	Time to look ahead
PANIC	Pre-exam feeling, maybe
AMI	"What ___ to do?"
DIVA	One who hits the high notes
PUREE	Blender button
ROMAN	Like 7-Down
EMILE	1960's middleweight champ Griffith
EARL	Title for Robert Walpole
BOOS	Calls after bad calls
SIMULATE	Feign
ENS	Shipboard title: Abbr.
SRI	___ Lanka
MOMA	N.Y.C. cultural center
ANTIS	Nay sayers
SERE	Withered
IRIS	Tennessee's state flower
INCA	Atahualpa subject
SEASONS	Peppers, perhaps
MIR	1986 U.S.S.R. launch
MEDICINEBALL	Doctors' frolic?
DEARME	Peter Ustinov autobiography
ISRAEL	Judean Plateau locale
BITTEN	Attacked by mosquitoes
ASSURES	Bolsters the confidence of
ANEST	"___ of robins in her hair"
SULLY	Tarnish
SCION	Grafting shoot
CAINE	Best Supporting Actor of 1999
NUCLEARBLAST	Physicists' fete?
BRAM	Vampire chronicler Stoker
LENO	Major NBC star
ELIA	Director Kazan
RARE	Pinkish
OTTER	Riverbank romper
TWA	Company once owned by Howard Hughes
ELK	Cousin of a moose
RYE	Part of a Reuben
SLOT	Kind of car
MEAN	Part of G.M.T.
NEWLY	Afresh
TYNE	Daly of "Judging Amy"
ELMO	Rosie O'Donnell's Muppet friend
SNAKE	Wind
