ISLES	Some vacation destinations
IBMS	Some PC's
SOUP	Starting fare, often
LASH	Lid attachment
ESTEEM	Treasure
STARRED	Had the lead
NATCH	"But of course!"
NEHIS	Some soft drinks
AMID	In the thick of
TOO	Unduly
CREPES	Brunch fare
HYDRATE	Sulfuric acid, say
TAJ	___ Mahal
TAMBOURINE	It's ringed with jingles
ALOE	Bandage additive
JAWS	Wrench features
BOAST	Dispense with all modesty
EMORY	University at which Jimmy Carter taught
ALA	According to
MUSTACHIOED	Like Dali
CORNEA	It's under the conjunctiva
MOW	Do some yard work
SPHEROID	Egg yolk, e.g.
PROBES	Galileo and Magellan
ONEAL	Celebrity center
ERRS	Muffs
BEANO	Game of chance
BAYOU	Mississippi delta feature
BREMEN	City on the Weser River
BLANC	À ___ (without browning)
ROGER	"O.K."
EXHAUSTION	Possible effect of heat
PASTEUPS	Old-fashioned page layouts
PAIRS	Some figure skating
PLEBS	The great unwashed
SYNCS	Gets it together?
LOX	It may be eaten with a schmear
DECAY	Tooth trouble
CEDES	Gives up
EARLY	Like some retirements
AGHA	Turkish honorific
ARMOR	Arrow stopper
AEIOU	They're found once each in 17- and 58-Across and 11- and 27-Down
UNROOF	Take the top off, in a way
LIEN	A creditor may hold it
NEARS	Zeroes in on
SPLICER	Old-fashioned film editor
DRUNK	Under the table
KETTLES	Ma and Pa
NBC	Leno appears on it
CRUMPLES	Gives way suddenly
LOCALE	MA or PA
RECESS	Day break?
CORONA	Moon circler
SOLOS	Performs a cadenza, e.g.
GOTO	Attend
GRINS	They may accompany winks
METRIC	Like some weights
MAZE	Place for an arrow
EROO	Suffix with switch
PROTRACT	Draw out
PLOD	Trudge
AWOL	Off base, perhaps
CELT	Bygone Briton
TRAY	Server's burden
ARI	Spokesman Fleischer
CAULIFLOWER	Member of the mustard family
UTE	Ghost dance performer
ZOO	It may allow petting
ELTON	Brand of basketball
ENOLA	Name on a famous B-29
EON	Very long stretch
REEDS	Bassoon duet?
SALTY	Off-color
