CABSTAND	Where hailing isn't necessary
CODER	Microsoft employee, e.g.
APERCU	Quick look
BEMOAN	Sing the blues about
SROS	Some cheap hotels: Abbr.
TAT	Work with a shuttle
ATA	___ price
NOPAINNOGAIN	Saw in a gym
DRESSED	Got into the habit, say
BANISH	Cast out
BATON	Stick with the beat?
ANON	Briefly unknown?
NOTACHANCE	"You wish!"
IMINLOVE	Cry while swooning
SINCERER	Less affected
HEGEMONY	Domination
OPERATOR	Number finder
ANOMIE	Social breakdown
DEMOTAPE	Musical sampler
TOTING	Bringing along
EROS	Arrow shooter
ASSONANCE	Alternative to rhyme
SODAFOUNTAIN	Where one can get the shakes
RCA	Color TV pioneer
POISON	Arrow application
PAGANS	Polytheists
ORAN	Pivotal port in W.W. II
CLEM	Mr. Miniver in "Mrs. Miniver"
UNEARNED	Like some runs
EUCALYPTUS	Source of heavy timber wood
THORO	A-to-Z, briefly
THRILL	Goal for some seekers
UGANDA	Lake Kyoga locale
HAVEN	Safety zone
CHICANO	Transplanted mariachi, maybe
CHRISTIE	Creator of many crime cases
HOISTING	Block-and-tackle work
INASENSE	Somehow
FERNERY	Pteridologist's display
EDIE	Actress Falco
HONAN	Cheng-chou's province
GEODIC	Lined with crystals, perhaps
EGOISTS	They're legends in their own minds
RIALS	Omani money
AGUILERA	Pop star who was a 1990's Mouseketeer
RATIOS	Secants and cosecants
ANITRA	"Peer Gynt" dancer
ISSY	Suburb of Paris
LIONEL	Company with a short track record?
LODES	Valuable veins
ANA	Suffix with Shakespeare
ASYET	To date
STEPSONIT	Gets moving
SERT	Spanish muralist
ITIS	Reply to "That so?"
INCL	With: Abbr.
TINTED	Like some windows
SALINITY	Marine aquarist's concern
LEA	Rural expanse
ISR	El Al destination: Abbr.
INSURE	Have covered
TIESCORE	Evening outcome?
EGESTS	Gets rid of
SNARLSAT	Warns maliciously
