CHASTISES	Whips
CHILE	1962 World Cup host
HANES	Hosiery brand
APSOS	Lhasa ___
SPUN	Like cotton candy
TYRE	Ancient city whose name means "rock"
ITA	"Isn't ___ Shame?" (1934 hit song)
SANKIN	Registered
ELCID	Conqueror of Valencia in 1094
SKELETON	Natural history museum exhibit
VERY	Truly
VAL	___-d'Oise (French department)
EDIT	Mark up, perhaps
RICH	Sumptuous
YOYO	Unstable type
HAPPYTALK	"South Pacific" song that asks "If you don't have a dream, / How you gonna have a dream come true?"
RADIO	Slice of a media ad budget
ROSIE	"Cracklin' ___" (Neil Diamond hit)
INSURANCEPOLICY	Something that may cover a house
POLEVAULT	Try to clear the bar
LEONE	West African currency
KILOS	British "pounds"
THO	Poetic conjunction
ESS	Count concluder?
FIDELIO	Opera that includes the "Prisoners' Chorus"
FANTASTIC	"Way to go, man!"
ONEWAY	Ticket request
STAN	Satirist Freberg
STEREO	Disc holder
TEN	See 50-Down
TEENAGE	Adolescent
ALAR	Bygone spray
GALT	Ayn Rand hero
ELKE	Actress Sommer
HASTEN	Make tracks
HIYA	"How de do"
ANOD	Give ___ to (O.K.)
STUV	Alphabet quartet
GOV	E-mail address ender
GOT	Tricked
ELAL	Its maiden flight carried its country's president home
INTENTIONALWALK	Pitcher's ploy
ICEWATER	Restaurant freebie
LGA	Letters on some luggage to N.Y.C.
YOUR	"___ turn"
ACT	See 43-Across
UGARTE	"Casablanca" role
ADVERSE	Not so good
RUDER	Not so delicate
PLAY	With 39-Across, pretend
PIERCE	Pass through
OUTWAIT	Stay longer than
ANOSE	Have ___ for (be perceptive to)
CPA	Column producer, for short
CREST	Colgate rival
PORTO	___-Novo (capital of Benin)
ASTOR	Place name in Manhattan
FOR	Gift tag word
FIFE	"The Spirit of '76" instrument
ONES	Change for a 25-Down, maybe
RSVP	Accept or decline
DIANE	Chambers in a bar
TAROS	Some Polynesian plants
TAPA	Spanish morsel
AVEC	French preposition
INSPECTORJAVERT	Literary character played in film by Charles Laughton, Anthony Perkins and Geoffrey Rush
PEN	Script
JAN	One of the Bradys on "The Brady Bunch"
FEVER	Bad thing to run
ESCAPESTO	Reaches, as a sanctuary
ESPN	"Friday Night Fights" presenter
REENACTOR	One seriously into Civil War history, maybe
