PEEPHOLES	Spy rings?
PATHS	Ways to go
ENVOY	Representative
ETAIL	Online marketing
PIN	With 45-Across, producer of small acorns
HUT	With 6-Down, QB's cry
ONE	See 5-Down
LINA	___ Lamont ("Singin' in the Rain" role)
EONS	Years on end
SNAILSPACE	Crawl
SNIT	Pet
SIR	"Yes" follower
NEATFREAK	Slob's opposite
INSURABLE	Like life and health
TASTINESS	Good flavor
ANTIUNION	Like strike-breakers
SIENA	City of the Blessed Virgins
SCENE	Crowd creator
TVANTENNA	It helps you get the picture
CRASS	Hardly refined
HOI	___ polloi
ASIDE	Where a needle is usually put?
DEES	Two of diamonds?
TUT	Disapproving syllable
SYLVAN	Wooded
VIOLA	Solo part in Benjamin Britten's "Lachrymae"
ACTE	Molière play part
NAH	"Bad idea"
LEN	Golfer Mattiace
FRI	You may thank God for it: Abbr.
ICANTSEE	"It's dark in here!"
NOONEKNOWS	"It's a mystery"
TORAH	It includes Numbers
RAN	Managed
SHOOTHOOPS	Engage in basketmaking?
SPINDLIER	Longer and thinner
HENRIETTA	___ Marie, noted shipwreck of circa 1700
ORGANISTS	Players for prayers
BEBE	New member of la familia
BEAST	Brute
PERLE	Diplomat Mesta
ORA	Mouths, zoologically
PEALS	Ding-dongs, e.g.
PCTS	Election figs.
INGA	Actress Swenson
SNACKCAKES	Ding Dongs, e.g.
SRAS	Ladies of Sp.
KAT	Krazy ___
NRA	Piece advocates?: Abbr.
PREHEATS	Gives advance warming
POMES	Quince and others
DIN	No soothing sound
OAK	See 4-Down
TSTRAP	Woman's shoe feature
READE	"Hard Cash" novelist
ANTES	Pot starters
PEERS	Matches
LEI	Ho's hanger
MSNBC	"Imus in the Morning" airer
BREW	Samuel Adams, e.g.
CINE	Movie
ENE	Pilothouse abbr.
ITSME	Reply to "Who's there?"
MAH	Start of a Chinese game
ORIENTATE	Get one's bearings
ETE	"Les nuits d'___"
NUT	Fruitcake
TNN	Big inits. in cable
ETTAS	Jazz singer Jones et al.
WENTUNDER	Folded
RASH	Spate
SWEETNESS	Quality of revenge?
