ALIBI	Excuse
AMAT	Bit of Latin conjugation
LIMA	Peru's capital
ILEX	Holly
BANAL	Yawn-inducing
INSTEAD	As a substitute
LAMB	Sweetie
LOBO	Western wolf
ANON	Like most graffiti: Abbr.
MEAL	A good one should be square
BAZAARS	Marketplaces
QAID	Muslim judge
QUEST	Mission
ANKA	"My Way" writer
ITER	Brain passage
DOSE	Medicinal unit
MILAN	Italian opera center
ONEA	How draft dodgers didn't want to be classified
UNTO	Biblical preposition
AMENS	Seconds, of a sort
BOAZ	Husband of Ruth
EKES	Makes (out)
TAXATIONLAWSARE	Start of a quip
IGLU	Ice house: Var.
WCTU	Grp. known for its dry comments?
LEG	Table necessity
ACT	"If you ___ now..."
AMA	Doctors' org.
ABEAM	Crosswise to a 68-Across
MANNA	Heaven-sent food
ASIDE	Stage comment
ALA	King preceder
APIAN	Pertaining to bees
ART	Life imitator
ANODE	Battery terminal
AFL	Union inits.
APRIL	Shower provider?
FLARE	Warning fire
LYSSA	Rabies
BASEDUPONSUPPLY	Quip, part 2
EDD	Hall of "The Tonight Show"
OWN	Possess
PIE	Kind of chart
ENID	Oklahoma city
IWO	___ Jima
IRAS	Some nest eggs
ANDDEMANDTHEIRS	Quip, part 3
EVAN	Bayh of Indiana
MANDATE	Require
TRES	___ bien
HANUKAH	Jewish festival: Var.
MAE	West of "My Little Chickadee"
VAN	It often has sliding doors
ERA	Baseball stat.
LEA	Meadow
BAN	Rule out
BABEL	Ill-fated tower
ENE	Chemical ending
EPOXY	Bond in a way
DEMANDSWESUPPLY	End of the quip
DARK	Unlit
ERIE	Canal with a "low bridge" ("ev'rybody down!")
MACE	Armor-busting weapon
SLOW	Traffic sign
WADE	Go in up to the ankles
ENDS	Outcomes
PRIM	Proper's partner
LEON	Folk star Redbone
YAMS	Thanksgiving dish
ARAB	Show horse
ALAN	A Ladd
KOREA	1988 Olympics locale
RICE	Food found in a bed
TODD	Mrs. Lincoln's maiden name
AXIOM	It goes without saying
KEEL	Longitudinal boat timber
EWES	Frequenters of 49-Across
HYMNS	Organic songs?
