TONGA	Kingdom east of Fiji
TUNAS	Yellowfin and bluefin
OSOLE	"___ Mio"
NUZLE	Loving motion
GALENAS	Lead ores
ALEG	"Break ___!"
SOS	Sea plea
SAYONARA	1957 Marlon Brando film
ONE	"The loneliest number"
SNAFU	Screw-up
WEREA	"If I ___ rich man ..."
WIDE	Off the mark
ENABLES	Gives power to
RAZLE	With 19-Across, flashy display
ELLEN	Former ABC sitcom
ALERT	On the ball
USUAL	Like some suspects
ANN	Doll's name
INALL	Summing up
NOZLE	Hose part
YEA	Roll call call
DAZLE	See 11-Down
ALLEGRO	Faster than moderato
RETURNERS	Many 12/26 store visitors
FEEBLER	Not so vigorous
EPICENTER	Focal point
SEEN	Spotted
ENDUP	"This ___" (carton label)
DRIZLED	By no means poured
LENT	Carnival follower
ASTAR	"___ Is Born"
SAFES	Things to crack
IRE	Tick off
RYDER	Actress Winona
THESAURI	Writers' references
TAR	Old-time punishment need
HIE	Get a move on
EDD	Announcer Hall
CYSTIC	Capsular, biologically
TOM	Aunt Polly's nephew
IDA	Cretan peak
CON	Bamboozle
AID	CARE packages, say
FRAZLED	Emotionally burned out
LINGERED	Didn't go away
ODO	Prefix with meter
REDDEN	Show shame
DUELLED	Fought it out, in Britain
LINESMAN	Grid official
SESSILE	Permanently attached, to a zoologist
USE	Play for a sap
ENTRE	___ nous
DOSE	One teaspoon, maybe
DEGAS	Painter of ballerinas
OVULE	Fertilization site
SIZLE	Steakhouse sound
RIDGE	Natural skyline former
ITEMS	Agenda entries
SPAM	Unwanted cyber-ads
PUZLE	This is one
ARLES	Van Gogh's "Bedroom at ___"
MEESE	Reagan attorney general
EVILEST	Most villainous
EENY	Chooser's start
ERASURE	Rubout
AFAR	Off yonder
GUZLE	Not just sip
ERR	Blow it
ROO	Kanga's kid
FIZLE	Fail miserably
ALLEN	___ wrench
MOE	Brother of Larry and Curly
ALLES	Everything, to Einstein
SEEDY	In sorry shape
SOD	Landscaper's supply
REESE	Ebbets Field hero
