TODDS	Lincoln in-laws
TORI	Inner tubes, e.g.
OPEN	Doing business
DECK	Flatten
DRUMMAJOR	Parade V.I.P.
SAMARRA	John O'Hara's "Appointment in ___"
PRO	No dilettante
PEEKS	Spoils the surprise, in a way
RAN	Published
OUTOFTUNE	Pitched poorly
FACTS	Dope
FESTUS	Dodge City deputy
ANTON	Dancer Dolin
CRYPTOGRAM	It's hard to read
TONO	___ end
SLED	Need for Santa
OPERA	Setting for a 1935 Marx Brothers farce
EAU	Glace in another state
ENROL	Get on the list
RECUMBENT	Lying
BRIANSSONG	1971 TV tear-jerker
STYNE	"Bells Are Ringing" composer
INKMARK	Manufacturer's sign on pottery
OCTOPOD	Paper nautilus, e.g.
COMMERCIAL	Show stopper?
MRIS	Some scans
FOUNT	Source
TIARA	It may be fit for a queen
TALUS	Anklebone
INTRIGANTE	Female spy
ATMS	They're filled with dough
ARGUS	Good guardian
OTT	Giants manager before Durocher
TEEUP	Get ready to kick off
TEST	Check
PANJANDRUM	Muck-a-muck
PAPP	"The Pirates of Penzance" producer, 1981
DIAGNOSIS	Common result of a 30-Down
AGEE	"The Night of the Hunter" screenwriter
APRILLOVE	Boone tune
ALTO	One not ending on a high note?
SIGNE	Swedish actress ___ Hasso
PRES	Firm head: Abbr.
PURR	Run smoothly
SAUERKRAUT	Frank request
KREMLIN	Czars' burial place
PSI	Sixth-sense phenomenon
TOGS	Threads
TEASEL	Thistlelike plant
CRIMP	Hamper
GLENN	Two-time N.B.A. All-Star Robinson
LYDIA	Its capital was Sardis
RIEL	100 sen, in Cambodia
RHINE	Kind of wine
ADAYAGO	In the very recent past
ALAS	Melodramatic cry
DART	Primitive weapon
HAMLETS	Burgs
EVAS	Sculptor Hesse and others
TENT	Carnival sight
SRAS	Familia members: Abbr.
LANDS	___ End
SPILLOVER	Extra
POE	"MS. Found in a Bottle" writer
ARTIE	First name in swing
ION	Kind of exchange
IVANA	Divorcée in 1991 tabloids
STEAL	Shopper's delight
SEE	Word before an explanation
NESTS	Homes for families that live in the sticks?
