DREAM	Vision that isn't real
DEFY	Go against, as someone's will
RAID	Antibug spray
ERRS	Makes a boo-boo
ALS	Gore and Green
MYTHICAL	Like dragons and centaurs
SLUMS	Areas of urban decay
SHTETL	Yiddish for "small town"
LARD	Cooking fat
UNI	Prefix with cycle
MONGOOSE	Kipling's Rikki-Tikki-Tavi, for one
SIGNOR	Milan mister
TEX	Country singer Ritter
TWIRL	Band majorette's move
EARLE	Country star Steve
XRAYS	Pictures at a dentist's
EARLY	Ahead of time
HANOI	Vietnam's capital
WAR	Vietnam ___
FIRSTSTRING	A-team
SELA	Actress Ward
IRA	Provision for old age, in brief
YDS	Footballers' measures: Abbr.
HEED	Pay attention to
GNARLY	Excellent, in slang
ADES	Fruity drinks
JILT	Abruptly dump, as a lover
JIB	Triangular sail
POODLES	Curly-haired dogs
PCBS	Banned pollutants, briefly
MUSICALSCORE	Composer's work for a film
MAZE	Labyrinth
URIS	Literary Leon
SUPS	Dines
SPIRE	Church feature seen from a distance
ARUBA	Caribbean resort island
PBS	"Sesame Street" airer
SOLD	Realtor's favorite sign
ORIG	Not a copy: Abbr.
LIEU	In ___ of (replacing)
DOSE	One teaspoonful or two caplets, maybe
ZIP	Five-digit postal number, informally
LORISES	Slow-moving primates
OUTSHINE	Surpass
RAHS	Stadium cheers
SCOOTERS	Relatives of mopeds
RIO	___ de Janeiro
ESSO	Canadian gas brand
OMAR	"The Rubáiyát" poet ___ Khayyám
UAR	Former Mideast inits.
CRIES	"Come on!" and "Go!"
RNS	E.R. or O.R. workers
MOTHERTONGUE	Portuguese, for Brazilians, e.g.
OUTFIT	Barbie doll purchase
REMOTE	What a couch potato probably holds
TRIB	Oakland paper, informally
STRAUSS	Waltz composer
SHEBA	Biblical queendom
TENON	It's inserted in a mortise
RASPY	Hoarse
EROS	Love god
HEARTH	Fireplace floor
EMIT	Spew
ETES	Hot times on the Riviera
DWI	Drunk's road offense, for short
DIVA	One who might receive roses at the end of a performance
WEEK	Timespan for The Economist
IDLY	How thumbs are twiddled
ENS	"Star Trek" rank: Abbr.
FITTOBETIED	Really steamed ... or what the ends of 17-, 26- and 47-Across are?
TSA	Airport worker's org.
TAN	Light brown
BOP	Conk
INSET	Map close-up
RAVEL	"Boléro" composer
ANY	"___ questions?"
TEASE	Show just a little bit of leg, say
SNAKY	Winding
