OMAREPPS	"The Mod Squad" co-star
OGDEN	City near the Wasatch Mountains
MORAY	Reef predator
AMUSE	Keep from being bored
ROME	Capitoline Museums locale
ERS	Beginnings of hedges?
PRO	Backing
PALAZZOPANTS	Woman's loose-fitting garment with flared legs
SHOGI	Game played on an 81-square board
AFRAME	Architecture that gets to the point?
AFRESH	From square one
FROSTED	Like some cakes and hair
RING	Token that you're taken
AGAR	It helps a culture advance
MILE	League part
EDDY	Certain air current
GOMORRAH	One of a notorious pair in Genesis
FRIGID	Arctic
DRUMSOLO	When the beat goes on ... and on ... and on?
RONALD	Presidential first name
EASE	Maneuver gently
AGNESGREY	Brontë classic
NETFLIXQUEUE	It has things you want to see
NYE	Frequent ad-libber on "The Steve Allen Show"
HAZIEST	Least definite
HEP	Zoot-suited, say
AERO	Prefix with car
GEEZ	"Man!"
GNAWS	Vexes, with "at"
THEFRUG	1960s dance showcased on "Laugh-In"
FELIX	Aspirin pioneer Hoffmann
RAIN	Mac user's motivation
UNDO	Reverse
GEAR	Reverse, e.g.
OVENPROOF	Able to stand the heat?
OMSK	Trans-Siberian Railroad stop
VICI	Part of a Latin trio
ETHN	People: Prefix
OAS	Grp. formed in Bogotá in 1948
DEANE	Connecticut delegate to the Continental Congress
MITA	Classic name in copiers
OPALS	Australian export
SABU	One-named film star of the 1930s-'60s
LIDA	"___ Rose" (song from "The Music Man")
SCHWA	One of two in Canada?
AMADEUS	Broadway play with the role of Emperor Joseph II
ASIAMINOR	Neighbor of the Caucasus
MOE	Bart Simpson's prank call victim
KINSMEN	Blood
ENISLE	Maroon
XBOX	___ 360
ANTIQUE	Object of many an appraisal
IHOPS	Units of a chain with links?
MRT	Onetime bodyguard of Muhammad Ali and Michael Jackson
MOOSE	Jock in "Archie" comics
RIGEL	Orion's left foot
TRYST	Subject of many a billet-doux
MOGADISHU	World capital long beset by civil unrest
MOJO	Lucky mystique
ORAN	Birthplace of Yves Saint Laurent
GARB	Threads
ALFA	Soviet sub class
SOIR	Time after le soleil sets
SLOB	One likely to leave things out?
ORALES	Papal capes
OENOLOGY	Science concerned with aging
NRA	Org. with the Eddie Eagle safety program
OPT	Elect
JARFUL	Quantity of peanut butter
PURPOSES	Missions
ONBASE	Trying to get home
SEATBELT	It's put on before pulling away
