WATERLILIES	Pad producers
WATTS	There are 746 in a single horsepower
ABHOR	Can't stomach
TRESS	Bun bit
EACH	Up
RCA	Producer of some dishes
LAT	Muscle strengthened in rowing, in brief
IDSAY	Opinion opener
LAMS	Skedaddles
IBET	"Uh-huh"
EROICA	Work that marked the start of musical Romanticism
SAWIN	Admitted politely
DOE	Name in many suit cases
DONATELLO	"St. Mark" artist
OPALESCES	Is like a moonstone
ESPY	Make out
ABRACADABRA	Cry before a disappearance
OPS	Saturn's wife
THECATSMEOW	Something that's just too cool
NAP	Recharging aid
TOSH	Musician who was a trailblazing Rastafarian
ASTIITALY	European wine center
TOLEDOS	Finely tempered blades
SRS	Matching ring recipients: Abbr.
CAY	Small part of an archipelago
CRUET	Item next to a salad bowl
ANNS	Jamaica's St. ___ Bay
CNOTE	Ben Franklin
ERN	Follower of directions
ELLIOTT	E.T.'s pal
BAA	Cry upon being fleeced?
BEFOG	Opposite of clarify
ARNO	The Ponte alle Grazie spans it
LESH	Grateful Dead bassist Phil
HOSE	You may work out its kinks
SPELUNKER	One exploring deeply?
SOFA	Common crash site?
PORTFOLIO	What an art student builds
EDUCATION	Cabinet department
KOFI	First name in international diplomacy
DELCO	Longtime name in auto parts
DOLED	Passed (out)
OODLESOFNOODLES	Ramen brand
OTRO	En ___ tiempo (formerly, to Felipe)
FRUIT	It's sometimes forbidden
FOOTLOOSE	Free
ATCO	Classic record label for the Bee Gees and Cream
SIG	M., in Milan
SAVEME	Help line?
RES	Monitor setting, briefly
FATHA	Nickname in pioneering jazz piano
HOGAN	Navajo home
POD	38-Across variety
PERIL	You're in it if you cry 41-Down
IVS	"Grey's Anatomy" hookups
IHOPE	Bit of wishful thinking
VENIR	To come, in Cádiz or Caen
SAXES	Instruments in Ravel's "Boléro"
SOTTOVOCE	Hushed
SAME	Matching
ONED	Superficial, briefly
CERF	Vint ___, the Father of the Internet
RHEA	Mother of the Gods
RIND	38-Across covering
ALI	Big name in flooring?
GENERATIONX	So-called "baby busters"
ACA	Here, in Honduras
TAN	Result of exposing oneself at the beach?
MIO	Pronoun in 20-Across
AMERICANPIE	Song that mentions "the Father, Son and the Holy Ghost"
EON	Unit in astronomy
NEDFLANDERS	Well-known TV evangelical
