CHAP	Bloke
CYCLES	Bikes
HOHOHO	Santa's greeting
AGEISM	AARP concern
PIER	Waterfront walk
INAFOG	Out of it
ICE	Rocks
NIH	Place for med. researchers
ACE	Champion
FEAR	One cause of trembling
ORDERS	Commands
GOSPEL	Kind of truth
RAH	Show of team spirit
REDRIVER	Its valley is fabled in song
ASHTRAYS	Camels may end up here
HQS	Command posts: Abbr.
YOGI	First name in the 40's-50's Yankees
CICERO	"Civis Romanus sum" speaker
ESQ	Fancy name appendage
CHEESEHEADS	Green Bay Packers fans
SEXTET	Tchaikovsky's "Souvenir de Florence," e.g.
DHS	Some batters, for short
LOIRE	Noted wine valley
REPORT	School assignment
OTO	Siouan
EHS	Sounds of doubt
XMAS	Holiday shortening
MINE	Outfielder's cry
AMIRS	Princes abroad
SEAFARE	Clams and oysters, e.g.
RETIRE	Turn in
EKE	Squeeze (out)
SOMETIME	Noncommittal response
EDT	Summer hours in N.Y.C.
SLOVAK	Eastern European language
DENIAL	"I didn't do it," for one
LIVID	Hopping mad
EYE	Appraiser's skill
BUTTERFINGERS	Klutz
BEAMMEUP	"Star Trek" command
UNGUENTS	Salves
NEST	"Cheep" accommodations?
GROVEL	Act servilely
EST	Superlative ending
CEN	100 yrs.
CPA	Calculating person, for short
SAVERS	Bank patrons
PAGERS	Items on belts
ELM	Popular street name
REBBES	Yeshiva teachers
STEELE	"Dear Prue" writer
RISOTTOS	Trattoria orders
TORIES	Side in the Revolutionary War
ORIENT	___ Express
SIESTA	Reason to close up shop
AMULET	It works like a charm
EDTV	1999 Ron Howard film
ORI	"... ___ quit!"
MEMBER	Card carrier
REAL	Not fake
EERIE	Shiver-producing
ELSA	Socialite Maxwell
ZEN	Spiritual path
ZOO	Picnic locale
BEERBELLIES	They show guts
RTE	Address abbr.
BEN	Uncle ___
EDA	Writer LeShan
OUT	Not home
ELATED	Walking on air
SENT	Faxed
OPS	Photo ___
SELENA	One-named 90's singer
ASTA	Film dog
