CHER	The ex-Mrs. Bono
CLOG	Drain problem
HALOS	Angels' headgear
ELIOT	Ness of "The Untouchables"
RONDOS	Musical movements
DEBT	Money owed
DIVIDEND	Stockholder's income
ETAL	Catchall abbr.
BELLI	Attorney Melvin
TRESS	Lock of hair
DRUGS	Pharmacy items
DEPOSE	Remove from office
REAP	Harvest
URI	Spoon-bender Geller
GIN	Rummy game
SET	Matched items
LALO	Composer Schifrin
ITER	Anatomical passage
EERIE	Like "The Twilight Zone" episodes
OLIN	Actress Lena
VALE	This ___ of tears (life)
PAINT	Do watercolors
GOODWILLSHOP	Secondhand store
WOVEN	Made on a loom
HIM	That guy
STOOD	Showed respect for the national anthem
ISIS	Sister of Osiris
ARI	Mr. O.
ALIVE	Kicking's partner
RIDER	Contract add-on
INANE	Nonsensical
SVEN	Cinematographer Nykvist
NAST	Political cartoonist Thomas
MERLIN	Arthurian sorcerer
RAE	"Norma ___"
OPS	Harvest goddess
OFFER	Bidder's amount
PROXY	Stockholder's vote
SINCE	Subsequently
ENACT	Pass, as laws
CHI	Letter before psi
TITO	Maverick Yugoslav leader
AIDA	Verdi heroine
FRIENDSHIPSEVEN	John Glenn's Mercury spacecraft
ETE	High season, on the Riviera
PLATFORM	Railroad station area
SERIF	Printing flourish
FONT	Type assortment
TITLE	Card catalogue entry after "Author"
ERE	Before, in verse
EXCESS	Overage
SHEENA	Singer Easton
SEA	Ocean
OARS	Boat propellers
SLICER	Deli machine
RYE	Loaf with seeds
HEIR	___ to the throne (prince, e.g.)
ICING	Cake decoration
RENEE	"Walk Away ___" (1966 hit)
TILED	Laid, as a bathroom floor
ECOLE	French school
DELLA	Singer Reese
PEACEOFFICER	Member of the police
PROF	Univ. teacher
ODER	German border river
REED	Marsh stalk
ACARE	Without ___ in the world
ASH	Cigarette waste
CIA	K.G.B.'s cold war foe
AMI	"___ the only one?"
INDO	Prefix with China
COLE	Nat King or Natalie
SIMON	___ says (tots' game)
NEER	___-do-well
ELLE	Popular fashion magazine
HAIFA	Israeli port
GERM	Microbe
READ	Do one of the three R's
