BAMA	The Crimson Tide, informally
BAHA	___ Men ("Who Let the Dogs Out" group)
ALIT	Touched down
MEGS	Computer capacity, in brief
AXHEAD	Cutting part of a lumberjack's tool
ALPS	Swiss peaks
AHA	Idea person's exclamation
LAYS	Puts down
PITA	___ bread
SLOT	One-armed bandit
ATLAS	Rand McNally product
APE	Animal that beats its chest
TEAMSTER	Professional truck driver
LAVA	Volcano's output
ACES	King beaters
SENT	Already in the mail
ALEX	Author Haley of "Roots" fame
HAIL	"___ Caesar!"
PEACE	Result of an armistice
HIGHWAYTOHEAVEN	1980s TV series starring Michael Landon
WAIT	Word repeated before "Don't Tell Me!"
HEED	Obey
ATSEA	Confused
SATE	Fill to excess
MAST	Sail holder
AIM	A sharpshooter needs a good one
MOM	Pop's partner
ELS	Golf pro Ernie
LIMB	What a do-it-yourself swing may hang from
ROADTOPERDITION	2002 Tom Hanks/Paul Newman film
RHOMB	Oblique-angled, four-sided figure
OATER	Western, in slang
AMATI	Classic violin maker
PINOT	___ grigio (wine)
ERATO	Muse of love poetry
RABIN	Israel's Yitzhak
INANE	Nonsensical
OSIER	Willow whose twigs are used in basketry
NANCE	F.D.R. veep John ___ Garner
HAM	Easter roast
MIRA	Actress Sorvino
MENSA	Organization for geniuses
OTARU	Japanese port
REDDENED	Blushed
URGE	Encourage
NAB	Catch red-handed
BRAIN	Cranium contents
METER	Parking space adjunct
OTIS	Elevator inventor Elisha
SOT	Drunkard
NEC	Big Japanese computer maker: Abbr.
BRIDGETONOWHERE	Onetime Alaska boondoggle
EMIT	Send out, as rays
WWII	Hitler started it: Abbr.
HONCHO	Top dog
DEM	One in a blue state majority: Abbr.
TWO	A pair
GATE	Yard entrance
GRIN	Sheepish look, maybe
AONE	Popular steak sauce
TUNE	Something to sing along to
IDES	Time of danger for Caesar
DROP	Go south, as a stock market
EINE	"___ kleine Nachtmusik"
SPUR	Thing on a cowboy's boot
INUSE	Occupied, as a lavatory
UKES	Hawaiian instruments, informally
SEWS	Stitches
ETNA	Sicily's Mt. ___
ROUNDTRIPTICKET	Traveler's option ... or what you won't get on a 17-, 27- or 48-Across?
DRY	Drought-stricken
TSK	"Shame on you!"
INNER	Near the center
ONUS	Burden
HEWN	Rough-___ (not smoothly finished)
NEEDY	Impoverished
PERK	Reserved parking space for an exec, maybe
OSSA	Bones, anatomically
