SCAMP	Disney pup
SUBS	Two-handed lunch orders
CLAM	Silent sort
ANCE	Utter conclusion?
MAHAYANA	School of Buddhism
PEERESS	Lady of rank
BOGS	Peaty places
BOO	"No fair!"
ORR	Boston rink legend
GNP	Econ. yardstick
SEANPENN	"Mystic River" co-star, 2003
RAND	Money in Pretoria
RATEDR	Not for tender eyes
ARID	Like the Negev
NOEL	Seasonal song
DOSE	Two caplets, maybe
ULNAE	Neighbors of radii
ORNE	Caen's river
AROO	Suffix with buck
BACHELORPARTIES	Pre-wedding rituals
LSAT	Aspiring J.D.'s exam
REEDS	Orchestra section
SMEARS	Speaks ill of
NEEDLE	Hard-to-find object, perhaps
YEAR	Vintage
REGLAZE	Coat anew
APED	Took off on
ABIOTIC	Lacking life
MASTERBEDROOM	Parents' retirement place?
MAGIC	Tricks
RATCH	Toothed bar
OTERO	Alamogordo's county
OREO	Snack with a cream center
MART	Place to trade
ALANS	Actors Hale Sr. and Jr.
AGED	Getting on in life
LALO	Composer Édouard
GAINS	Puts on
TRA	Refrain syllable
GAGA	Totally smitten
ELTON	Musical John
EERINESS	Quality of a ghost town
DEER	Timid creature
DOGFIGHT	Ace versus ace
ELI	Bush or Kerry, collegiately
REACT	Do a double-take
ROBOT	Bomb defuser, maybe
COROT	"A Girl Reading" painter
CAREERS	Education, law, etc.
DOCTORZHIVAGO	Classic Omar Sharif role
TOETAG	Morgue ID
VEND	Peddle
OBIE	Village Voice award
CERF	Punny Bennett
COMEON	"Let's go!"
CAPS	Limits
OMIT	Forget, maybe
MATA	___ Hari
NEIGHS	Paddock sounds
GREY	Writer from Zanesville
HEAL	Make sound
SESE	Zaire's Mobutu ___ Seko
AMATTEROFDEGREE	Apt title for this puzzle
ROT	Go to seed
OFA	"Son ___ gun!"
FAN	Booster
PITA	Hummus holder
SOFA	Soft seat
RHEAS	Ostrich cousins
STAG	Alone, in a way
STAN	Asian nation suffix
STYLE	It may be set in Paris
