WARD	Fend (off)
WADE	Go in with rolled-up pants?
AXIS	Main line
ROSE	Stood up
DNA	Crime lab stuff
ADDS	Puts on
APPAREL	Hat and coat, e.g.
DEEP	Bottomless
DRATS	Mild oaths
STROP	Razor sharpener
VERGE	Threshold
VON	Mezzo-soprano Frederica ___ Stade
EDGE	Head start
ROILED	Muddied the waters
GUNSHY	Cautious
ELKES	Actress Sommer et al.
AXON	Nerve impulse transmitter
PERT	Smart-alecky
ODOUL	Lefty of 1920's-30's baseball
DISAPPEARINGINK	First trick
PLUMB	Perpendicular
IPANA	"The smile of beauty" toothpaste
ESE	San Jose-to-Fresno dir.
LAPTOP	ThinkPad, e.g.
ELSE	Otherwise
RUR	Capek play
ROBUST	Full-bodied
SPAY	Neuter
YES	"I agree"
EHS	Uninspired reactions
ABDOMEN	Middle part
ADZ	Cutting tool
BRA	Top of the lingerie line
DIS	Criticize, slangily
NEHI	NuGrape competitor
NEEDY	Hard up
ESCORT	Police car with a flashing light, maybe
DRIBBLEGLASS	Second trick
GRR	Unhappy response
LETS	"Sure, why don't we?!"
ZASU	Pitts of "Life With Father"
HRE	Domain of the Hapsburgs, once: Abbr.
COED	Like many college dorms
OWE	See red?
EER	Always, poetically
DRS	A.M.A. members
SQUIRTFLOWER	Third trick
QUO	Status ___
UMIAK	Eskimo boat
FORESEE	Anticipate
LASSO	Cow catcher
DATUM	Statistic
DAPHNE	Love object of Apollo
APIECE	Each
SOARERS	Eagles on the wing
SAP	Fall guy
SATUP	Paid attention, so to speak
OISE	Seine feeder
SNEAK	Move under cover
EDWIN	Reagan attorney general ___ Meese
RST	They keep "Q" from "U"
APIA	Samoan port
AJAR	Open a bit
ANDRES	Agassi and Maginot
RARE	Pretty pink
TLC	Motherly ministering, for short
TYRO	New kid on the block
LOGO	Nike's swoosh, e.g.
CUES	Pool sticks
THEJOKEWASONYOU	Trickster's comment, after 17-, 33- or 42-Across
OPS	Photo ___
NUB	Gist
UNCAP	Open, as a bottle
AIRE	Suffix with million
URGE	Twist the arm of
PEERS	Jury composition
KNEE	Place for a bouncing baby
BOOS	Reactions to dirty tricks
