CHAPTER	Alpha or Beta, e.g.
CHISELS	Cheats
HONOREE	Award winner
ATWORST	If all else fails
PLANETS	Revolvers
TIRED	Out of gas
ENDS	Comes to a halt
RESTAREA	Stop on the way
OMIGOSH	Cry said upon a sudden realization
ONAJAG	Bingeing
MINIS	Small group?
ICON	Image
GETGRAY	Age, in a way
OOHLALA	"That's gorgeous!"
SNEEZER	Blessed one
HERDERS	Little Bo-peep and others
HOTLINE	Critical link
NICEONE	"Way to go!"
INWARDS	Toward the center
ANOTHER	Order at the bar
SOONEST	Quick as can be
JINGLED	Like coins in a pocket, maybe
ERRED	Guessed wrong
AGAS	Ones taking a sultan's orders
GEEWHIZ	"Imagine that!"
RAZE	Level
LEST	Avoiding the risk that
OREG	Its state tree is the Douglas fir: Abbr.
ORNE	Alençon's department
PALER	Less colorful
POME	Apple or quince
SETSFREE	Lets go
FOIL	Patsy
BOYARS	Old Russian noblemen
BILE	Caustic comments
ONAWHIM	Just for kicks
HOMESPUN	Simple and unpretentious
LASSIE	Old TV series set near Calverton
LENSCAP	Shot blocker
AQUARIA	Tanks for watching?
SUMMERY	Estival
SABBATH	Fourth Commandment subject
HOLECARD	Its face is hidden
COOLCAT	Daddy-o
ARMLIKE	Brachial
RAMONES	"Rocket to Russia" group, with "the"
DNATEST	Identifier of the real you
EQUAL	Come to
LIME	Tom Collins ingredient
LIDDED	Heavy-___ (sleepy)
ORAN	Allied invasion site in W.W. II
NUMB	Ready for surgery, in a way
SIZE	Petite, e.g.
SEEME	Terse summons
COMMA	One in 1,000?
CARTA	Map of Spain?
SAMBAED	Danced in duple time
AMIE	Brest friend
SHALLOT	Bordelaise ingredient
HOPE	Desire
CREAMED	Beat decisively
PORCINE	Mud-loving and fat
AIRTIME	When the show must go on
UPTAKES	Flues, e.g.
PAYHEED	Be attentive
NEATEST	Working best, as a trick
