CLEW	Interest of Miss Marple
CLEOPATRA	Shakespearean character who introduced the phrase "salad days"
LASERBEAM	Tattoo remover
ESPRESSOS	Coffeehouse menu subheading
WHY	1959 #1 Frankie Avalon hit
HEATDAMAGE	Blow-drying problem
HEFTED	Tested, as a load
ERROL	Documentarian Morris
ARON	Elvis follower
TON	Lot
DRT	Richard Gere title role of 2000
ARA	Basso Berberian
MAXBAER	Sports champ depicted in "Cinderella Man," 2005
ATLAW	Counselor-___
GEENA	Davis of "Cutthroat Island"
ESSAY	Theme
LASH	Liner's locale
ERRORRATES	Slipping frequencies
ESPY	Spot
FRONTAXLES	Steering system components
OER	"___ the glad waters of the dark blue sea": Byron
ETON	James Bond was kicked out of it
EZRA	Fitch who co-founded Abercrombie & Fitch
BANA	Eric of "Lucky You"
PRETZEL	Contortionist's inspiration?
TUT	Indication of disapproval
CARAWAY	Aquavit flavorer
CHAIM	Novelist Potok
ALDA	Tony winner for "Guys and Dolls," 1951
ROW	Detail on some tickets
ABSURD	Risible
CHLOE	Paris fashion house since 1956
CEDAR	Material used in making saunas
TESTA	Seed's exterior
DEADWRONG	Off by a mile
DODIE	"Pink Shoe Laces" singer Stevens
ORATORIOS	"Elijah" and others
NOSEBANDS	Bridle parts
GIMLETEYE	Piercing glance
RAO	1990s Indian P.M.
PODIA	Where some addresses come from
PRAM	Coventry park sight
ROI	Massenet's "Le ___ de Lahore"
AMSTERDAM	Setting of Camus's "The Fall"
TOLLBAR	It's raised after a payment is collected
ENA	Disney doe
CHASM	One yawning
COPS	Pinches
HAR	Part of a laugh
ONAIR	Sign at some booths
BOATEL	Marina accommodations
BAILEE	Temporary property holder
RECLAME	Notoriety
RICOH	Konica Minolta competitor
EDUCE	Elicit
COREA	Chick playing a piano
LAPROBE	Hansom cab accessory
LEANS	Isn't quite neutral
IDOL	Massive star
SEIS	Half of doce
SERA	Toxin fighters
RAT	Something often smelled
CURBAPPEAL	Factor in a home's market value
ANT	Symbol of industry
PBS	"Be more ..." sloganeer
POE	"Some Words With a Mummy" penner
MINE	Do groundbreaking work?
MBE	Honourary title: Abbr.
OCEANBORNE	Carried by currents, in a way
BODY	Winetaster's concern
HEARTSEASE	Serenity
ESSE	Forum infinitive
