DELHI	New ___, India
DIF	"What's the ___?" ("So what?")
EVE	Holiday preceder
LIN	China's ___ Yutang
HEWS	Cuts with an ax
IDAHOES	Potatoes from the Northwest
CAPE	Massachusetts vacation spot, with "the"
CAPRI	Blue Grotto's island
ALAI	Jai ___
PERFORATE	Make holes in, as for ease of tearing
EEK	Hair-raising cry
IBET	"Yeah, sure!"
ICEAGE	Period ending about 9000 B.C.
BOGDANOVICH	Peter who directed "The Last Picture Show"
EDGE	Periphery
TAOS	New Mexico city or county
IVIED	Like the outfield walls at Wrigley Field
ALEE	Downwind, to a sailor
CODA	Musical finale
FENWAYPARK	Red Sox stadium
YARN	A knitter might have a ball with it
EGGO	Frozen waffle brand
SHARIF	Actor Omar
JADES	Precious Chinese carvings
JETS	"Cool your ___!"
AIM	Look through the cross hairs
ASPENS	Forest quakers
ITALIC	Like right-slanting type
MARSHAMASON	"The Goodbye Girl" actress
ORI	"... ___ quit!"
OMEGA	Alpha's opposite
MESS	Cafeteria, to a soldier
STATEN	New York City's ___ Island
TEE	Football kicker's aid
PRETENDS	Makes believe
PRAYS	Says grace, e.g.
DMINOR	Key of Beethoven's Ninth
SEDERS	Passover meals
PARES	Peels, as an apple
BRASS	Copper/zinc alloy
BELLTOWER	Carillon site
OME	Cockney's residence
ELSE	"Anything ___?"
KEATS	"To Autumn" poet
KLAN	Group investigated in "Mississippi Burning"
OVID	Roman poet who wrote the "Metamorphoses"
OWN	Have title to
NIH	Fed. biomedical research agency
ALLYE	"O Come, ___ Faithful"
ADUE	Together, in music
TWINE	Packing string
TAKESTO	Likes immediately
SCANDALS	Watergate and Irangate
NONEED	"Thanks, but I'm O.K."
RANCOR	Bitterness
RUPP	Coach Adolph in the Basketball Hall of Fame
MOUNT	Everest or Kilimanjaro
AUK	Diving seabird
ASMAD	Comparable to a wet hen?
HRS	College credit units: Abbr.
SHANE	Classic Alan Ladd western
SLAW	Picnic side dish
HOLA	Spanish greeting
ONSPEC	Lacking any guarantee of being paid
NANO	One billionth: Prefix
CCUP	Medium bra size
LOSE	Score the 3 in a 4-3 game
SWAMPSCOTT	Seaside community NE of Boston
SGT	"___ Pepper's Lonely Hearts Club Band"
ODE	"To Autumn," e.g.
TOR	Rocky peak
TRA	___ la la
ALOE	Natural balm
GENA	Actress Rowlands
TUDOR	House of Henry VII and Henry VIII
WAND	Fairy's stick
TROD	Stepped (on)
OPERA	"Tosca" or "Thaïs"
