ZEAL	Intense enthusiasm
ZAP	Hit with high voltage
ERA	Chapter in history
AIL	Feel sick
LAMB	Gentle creature
PETE	Townshend of the Who
PEELED	Skinned, as potatoes
EXAMS	Midterms and finals
TAD	Tiny bit
ELEC	Basic util.
MKTS	Stock exchanges: Abbr.
MARISA	Actress Tomei
KNUCKLEBALL	Slow pitch with a little spin
TELLS	Spills the beans
SWEE	___' Pea (Popeye's boy)
ARIA	Diva's solo
EXALT	Praise highly
TRUMPET	Louis Armstrong's instrument
ANEW	All over again
PALMREADER	Examiner of heart and life lines
RAMEN	Japanese noodle dish
RULE	"Look twice before crossing," e.g.
BALM	Soothing ointment
CUBICLE	Partitioned-off work space
BAER	1930s boxing champ Max
REF	N.B.A. official
RELAY	Race with batons
EXILE	Napoleon, on Elba
FINGERPAINT	Messy art medium for kids
MESH	Fishnet stocking material
HANDSET	Phone part ... or a title for this puzzle?
MASKS	Halloween purchases
EXITED	Left the building
TEA	What the Hatter and the March Hare drank
APPEAL	Attractiveness
PEEK	Sneak preview
LINEN	Sheets, pillowcases, etc.
SNEER	Look of disdain
SANK	Sent to the bottom
ETS	Beings from out of this world, in brief
TUTEE	Private pupil
STAGE	Where a 51-Down performs
ALGA	Pond organism
CADET	Student at the Citadel
CAUSING	Producing as a result
ABUT	Border on
AIG	Insurance giant in 2009 news
YEE	"___-haw!" (western rider's cry)
DANSK	Tableware inspired by Scandinavian design
DBLS	Two-base hits: Abbr.
MIATA	Sporty Mazda
MENLO	___ Park (Edison's lab site)
REBUKE	Call on the carpet
EASTER	Egg-dyeing time
PEGLEG	Pirate support, stereotypically
PENPAL	Someone from whom you might collect exotic stamps
OPALS	Iridescent gems
OLLIE	One-toothed dragon of old children's TV
TMEN	Feds who catch counterfeiters
MULTI	Prefix with vitamin
LEE	Golfer Trevino
CLASSIC	Enduring literary work
CAST	See 37-Down
CARE	Give a darn
UNLV	The Runnin' Rebels of the N.C.A.A.
VLAD	Prince called "the Impaler," who was the inspiration for Dracula
ALIT	Came to earth
NAILPOLISH	Small bottle in a purse
IAM	"___ the Walrus"
ISO	Equal: Prefix
SHU	Moo ___ pork
HEX	Evil spell
SINE	___ qua non
GRATA	Persona non ___
ASHE	Tennis champ Arthur
TETR	Four: Prefix
EMIL	First Best Actor winner Jannings
DOUX	Billet-___ (love letter)
