BILBO	"The Hobbit" hero
BABAR	King of the elephants in a children's book series
ISUZU	Trooper on the highway
LITTLEEVA	"The Loco-Motion" singer, 1962
BAT	Dracula's altered form
ONES	Telephone numbers without letters
BMOCS	College V.I.P.'s
BEFORE	Prior to
MALTA	Island south of Sicily
ORY	Suffix with direct
CTS	Small change: Abbr.
SHH	It may precede "Don't let anyone hear!"
AMA	Drs.' org.
ANIMA	Inner self
MIMIC	Make like
APPLE	Beatles record label
ASIAN	___ flu
EARTH	Mother ___
NIP	Defeat by just a tad
BUTTERFLYSHRIMP	Entree on many a Chinese menu
ROCS	Fabled fliers
REPAY	Settle a debt with
AZT	Pioneering anti-AIDS drug
SOOT	Blackener of Santa's boots
EMIL	Oscar winner Jannings
RULE	"No shirt, no shoes, no service," e.g.
ERN	Directional suffix
CRAWLSPACE	Cramped alternative to a basement
WEEK	Sports Illustrated span
LACE	Feature of many a bodice
STASIS	Equilibrium
ERASE	Clear the board
ASSISI	Franciscans' home
EATA	"I could ___ horse!"
OMENS	Signs to heed
ORI	"... ___ quit!"
MER	Debussy's "La ___"
DECAYING	Rotting
DOS	Affairs
IDENTIKIT	Facial recognition aid
NIN	Diarist Anaïs
GEE	"___ whiz!"
REV	Pastor, for short
STROKES	Pets ... or what the starts of 17-, 25-, 50- and 61-Across are all kinds of
TASS	News agency that was the first to report on Sputnik
RNAS	Genetic materials
DIE	It can be cast
IRANIANS	Tabriz residents
NOKIA	Mobile phone giant
IRENE	"Goodnight" girl of old song
RIA	Small inlet
OSSA	Greek peak
RESIN	Amber is a fossilized one
REACTS	Shows shock, e.g.
ESTH	Book after Neh.
BACKISSUES	Old New Yorkers, e.g.
BABYS	___ breath
AGREE	Concur
CRETE	Where Minos reigned
UNFIT	Out of shape
ATON	Lots
OPERA	Word with grand or soap
NONET	Largish musical group
AGRI	Prefix with cultural
NATO	Intl. group with many generals
OILS	Many works at the Met
IPO	Big milestone for a young co.
BREASTOFCHICKEN	Basic hotel banquet entree
SAP	Patsy
TWA	Eero Saarinen designed its J.F.K. terminal
OAR	Viking ship need
COE	Runner Sebastian
YET	Still
AWAIT	Anticipate
LOIRE	River that drains more than 20% of France
SEE	Date
PARTS	Labor's partner
SETAT	Attack
