LAMBS	Frisky ones
LIPIDS	Structural components of cells
AMELIA	"Un Ballo in maschera" heroine
MENIAL	Hireling
BANANA	It has thick skin
SNYDER	Emmy-winning TV host
WASHDAY	When some cycles occur
WARMUP	Stretch, perhaps
ARRAS	Capital of Pas-de-Calais
SPIN	Specialty of some doctors
HAM	Mugger?
DIEHARDS	Irreconcilables
ANNEXES	Some wings
YTTRIA	Powder used in television tubes
IMEAN	Clarification starter
CARPAINT	Sable coat?
COMBAT	See 16-Down
PENNY	With 43-Across, small wagers
WORRIMENT	Anxiety
WARCRY	Sound heard during 14-Down
ILIAD	It ends with Hector's funeral
AMMAN	Capital on the Jabbok
HER	Self starter?
DIANEARBUS	"An Aperture Monograph" photographer
AYINS	16th letters in Hebrew
TAXI	Airport waiter?
TOAT	Exactly
SALARYCAP	Sports contract issue
COREA	Jazz pianist with eight Grammys
CUR	Man behaving badly
IRT	N.Y.C. subway line
QUADS	Bodybuilder's pride
QUEEG	His crew nicknamed him "Old Yellowstain"
BRINY	Sea
BLACKTIE	Phrase on some invitations
RANK	Noisome
INK	Cartridge filler
HURTS	Vitiates
HARASS	Press hard
FLANS	Caramel-topped desserts
FROWNAT	View disapprovingly
TAE	___-Bo (exercise system)
TIMERS	Meet people
CRANK	Increase, with "up"
CLAIMS	Insurance work
FIREPOWER	Military strength
FSTOPS	Shutterbugs' concerns
PAGANS	Ancient Romans, e.g.
OZONIC	Like fresh air
WIENER	Frank
ENRICO	Donizetti's Lord ___ Ashton
RESEED	Tend to, as a bad lawn
LOCK	It may be picked
USMAGAZINE	Showbiz monthly
UNION	Kind of jack
AWK	Parrot's cry
ANTES	See 15-Across
ARTE	Galería de ___
GOERS	They're on the move
INTERIORS	1978 Woody Allen drama
ENV	Letter carrier?: Abbr.
ANNIE	Part of a Woody Allen title
MAINTOPS	Some mast platforms
NIECE	Great-___
STEVENS	Pulitzer poet Wallace
SCROD	Seafood selection
