DIM	Low-I.Q.
DARED	Took a chance
INANE	For the birds
MAIDS	Ones who'll straighten you up?
WISP	Slender amount
WRIT	Formal order
ION	Cloud chamber particle
SUBPOENA	Form of 4-Down
PERES	P.M. preceded and succeeded by Shamir
CBSTV	Letterman airer
CANTER	Easy gallop
BUD	Chum
SDI	Reagan cause: Abbr.
TINS	Pantry array
VOGT	Science fiction author A. E. van ___
AGEOLD	Venerable
AVERSE	Against, with "to"
GENTEEL	Well-bred
ENGARDE	Cry before waving the hand
ODIN	Ruler of the Aesir
LONE	Isolated
DREW	Had no play in crazy eights
ANA	Gasteyer of stage and screen
ROUE	He's less than a gentleman
AUDIO	Broadcast element
VENDOR	Carnival sight
RAISINBRANDING	Goal of Sun-Maid's marketing department?
SAKS	Retailer beginning in 1867
ALIG	Alter ego of Borat and Brüno
ENGINE	You might give this a gun
ENDAT	Conclude by
PELT	Shower with force
STARTANEW	Go back to square one
AUF	Start of a German goodbye
DESK	Office holder, of sorts
OSIERS	Willow twigs
RENE	Haitian president Préval
SEEN	In the public eye
USER	Word with interface or option
SHOE	Part of a brake
HACIENDA	Home south of the border
ORES	Gemstone sources
GREENSFEEDING	Salad bar activity?
NADA	Zilch
SLIM	Spare
INEZ	Deadly 1966 hurricane
NYSE	Closing bell place: Abbr.
GALS	Hoedown participants
GAS	Hot air
GOIN	Enter
AFRO	Early Michael Jackson style
SMALL	Petty
ARNE	Composer Thomas
ENVOI	End of a ballade
NEAL	Beat poet Cassady
LENYA	Actress Lotte
OFMICEANDMENDING	Book on how to repair rodent damage?
INTOIT	Really engrossed
DOOM	Something often thought of as impending
MAZES	Lab challenges
NODE	Branching point
GRAD	Diploma holder
ESL	Immigrant's course, for short
IRANIS	Dwellers on the Strait of Hormuz
VOA	Overseas news source, in brief
AMORTIZES	Pays down incrementally
TRIBUNAL	Court of justice
INNEED	Destitute
NOLTE	Murphy's "48 HRS." co-star
OOZED	Seeped
ENC	S.A.S.E., e.g.
DORAG	Informal headwear
DARN	"Drat!"
LONGTIMENOSEEDING	Reason that nothing's growing on the farm?
GINA	Actress Lollobrigida
TONI	Novelist Morrison
SUMO	Sport of a rikishi
EMITS	Sends out
GAVIN	San Francisco mayor Newsom
IDIO	Peculiar: Prefix
SCRUM	Rugby play
BEADS	Units of sweat
DONE	Ready, in the kitchen
SSGT	U.S. Army E-6
BRITANNIA	Subject for 48-Across
BRIG	Naval lockup
RUBE	Bumpkin
INON	___ a secret
INGE	Pulitzer playwright of 1953
ATON	Heaps
AMI	Athos, to Aramis
HUEVOS	Dish served ranchero-style
HUGO	Science fiction prize
RUN	Take a powder
AINTWEGOTFUNDING	Question from a campaign committee?
WADS	Lots of moolah
EDIT	Switch lines, say?
FELDSPAR	Mineral that crystallizes from magma
IBOOK	Old Apple laptop
OTRANTO	Town on the SE tip of Italy that's the title setting for a Horace Walpole novel
KLINGER	"M*A*S*H" corporal
GOAD	Push
SEGA	Company founded in 1940 as Standard Games
NET	Bottom line
GENTLEBENDING	Exercise for beginning yoga students?
ELDERS	Council members
BEE	One using a comb
NARITA	Tokyo's airport
GRIN	Meaning of the emoticon :-D
LOLL	Hang around
LORD	Whom a thane attended
RILE	Push too hard, maybe
STARED	Was gaping
EGGED	Pushed, with "on"
OAHU	Aloha Tower site
ASIAN	Broad style of cuisine
HENCE	From this time
URGED	Pushed
COLANDERS	Porous kitchen utensils
CATE	Actress Blanchett
OVER	Much-repeated word in air traffic control
LEER	Creepy look
RDAS	Vitamin bottle info, for short
SRTA	Mex. miss
RIGS	Throws together
ORSER	Eight-time Canadian skating champion
ONLY	Right turn ___
AVENGE	Repay
DRAWINGPENDING	Tardy illustrator's assurance?
ABC	Symbol of simplicity
WAH	When doubled, a musical effect
ERA	Prohibition, e.g.
TEETER	Be on the brink
ATBAT	Up time
EARL	Broadway columnist Wilson
ACE	Whiz
ERRORS	Position player's stat
SACHA	Baron Cohen who created 25-Down
DRAY	Cart for heavy loads
NED	Lead character on "Pushing Daisies"
