USMARSHAL	Fugitive-hunting Fed
UPCLOSE	In one's face
SHOOFLY	Pennsylvania Dutch pie
MOUNTIE	Enduring symbol of Canada
ANNE	Last of the Stuarts
RETRO	In once more
SHY	Lacking
HOT	With 63-Across, 1972 Rolling Stones "greatest hits" album
AMADIS	Knight of medieval literature
LEXICON	Defining work
SAFIN	2000 U.S. Open winner
SPELL	What a 9-Down might help you do
ARGO	Galley of myth
FORMULA	H2O, e.g.
IMEANIT	"For real!"
NOTTOBE	Opposite of destined
PHONEHOME	"E.T." follower
PROMO	Free sample, say
COUNTYTAX	Local assessment
EGRET	Plume hunter's prey
LONER	Antisocial type
DIPLOMAT	Type with finesse
PANATELA	Smoke that's not thick
OFT	"How ___ is the candle of the wicked put out!": Job 21:17
OPTICAL	Like some thin fibers
PARDONER	"The Canterbury Tales" charlatan
TRE	26-Across and 26-Across and 26-Across
UNO	Not quite none, in Naples
SLIP	Yacht spot
PSALM	The last one begins "Praise ye the Lord"
ARSON	Reason for a lighter conviction?
GLIB	Like many smoothies
GRAIL	Percival caught sight of it
EYESORE	View spoiler
OIL	Permian Basin yield
NARRATE	Chronicle
REL	Sister's study: Abbr.
AID	Crutch
TEA	Social type
SWALLOW	Get down
SHOTPAR	Met the course standard
WARHERO	Bronze Star recipient
ARSENIC	One of the metalloids
WALCOTT	Literature Nobelist Derek
HELIPAD	Where some touchdowns are made
HEC	TV's "___ Ramsey"
POKEMON	Collectible card creatures
AGITATE	Shake
DETOXED	Quit using
HARM	Detriment
NAVEL	Popular piercing site
VIEFOR	Try to win
LOGE	Orchestra alternative
ORS	Where organs may be repaired, briefly
PELICAN	It stores fish in a pouch
PONES	Dixie cakes
NOCAL	Lite as can be
KIT	Set of utensils
THEFORCE	It has a dark side, in sci-fi
FISK	1972 A.L. Rookie of the Year
ODETO	"___ My Family" (Cranberries song)
DEVI	Supreme Hindu goddess
PENIN	Corral
OFFICEMAX	Its logo is a rubber-band ball
FOE	One to go up against
IKE	Memorable 2008 Gulf hurricane
ARISE	Spring
TOOKAVOTE	Counted raised hands, say
ROCKS	See 7-Down
TREELINED	Like many avenues
