ATBAT	Opportunity to hit
AMBER	Color of waves of grain, in song
TORSO	Sculpted figure
BOATS	Bath toys
ALI	2001 role for Will Smith
TANGLES	Comb stoppers
GOLFS	Shoots 18, say
GARRET	Attic
OWED	Was in the red
LEES	Dregs
FEZ	Shriner's topper
SKETCHY	Missing many details
ICE	Rocks in a bar
ISOSCELES	Kind of triangle
COLA	RC, for one
EDDY	Whirling water
MOOLA	Long green
AWEEK	The Beatles' "Eight Days ___"
SOD	Turf
BRAINFREEZE	Result of eating ice cream too fast, possibly
FILL	"___ 'er up!"
OLD	Moth-eaten
EST	Best guess: Abbr.
GIRDS	Fastens with a band
TOSAY	"That is ___ ..." (in other words)
ODE	Pindar work
ROSELLE	Town next to Elizabeth, N.J.
EMME	One-named supermodel
ACDC	Flexible, electrically
ACRE	Plot unit
MELTEDCHEESE	Fondue dip
EASEL	Studio prop
DIS	Insult, slangily
SILL	Spot for a warm pie
EDIE	Falco of "The Sopranos"
WHAMS	Bops hard
WRAP	Shawl or stole
HOUR	Billing unit
ABSENTEES	Some voters
AIRY	Light as a feather
LID	Pot's top
ROBE	Spa wear
MASSE	En ___ (all together)
MAYA	Yucatán native
ALP	Grand Paradiso, for one
DELI	Place for a ham
DIEM	Per ___
AUS	Where Schwarzenegger was born: Abbr.
SALE	"Lost our lease" event
STRAFES	Attacks from the air
AISLE	Airplane seating option
ASHCANS	Sub sinkers, in slang
PRETTYPLEASE	Entreater's words
TOT	Young 'un
ESPIES	Catches sight of
ACID	Like gastric juice
NORA	Asta's mistress
SCHMEAR	The whole ___ (everything)
ELENA	Dementieva of tennis
ASYET	So far
RUSTS	Corrodes
GOTTA	Must, slangily
GAZE	Stare intently
OPEL	Kadett automaker
TOPIC	Debaters debate it
TOGA	Fraternity party attire
ORLY	Paris airport
LSU	Shaq's alma mater: Abbr.
APE	Copy
FLORIDAKEYS	Sunshine State vacation area
LAT	Long. crosser
KOP	Keystone lawman
ZEE	Snore letter
EAGLE	3 on a par-5 hole, e.g.
NONET	Largish combo
ELS	Golfer Ernie
STAYS	Collar inserts
SPATS	Quaint footwear
