LOCH	Scotland's ___ Fyne
LIL	Not-so-apt word for Abner
ONEA	Suitable for service
CRAB	Shore catch
HEPCAT	One who's beat but good?
TABOO	It's nothing to speak of
TAKECARE	"Be well"
ASIF	Catchphrase from "Clueless"
BILGE	Poppycock
OATHS	They may be made with Bibles
ONSITE	Present
JOBS	Perennial presidential campaign issue
JERK	Be rough with the reins
OVAL	Flattened figure
BERM	Earthwork
SRA	Madrid Mme.
INRE	Memo phrase
ASIAN	Part of a U.S. census category
EVER	"Did you ___?!"
LEAP	Bound
KILTS	Manly apparel
RARA	___ avis
ABCDEFGHIJKLM	Half of a decoder ring
DEC	Big holiday mo.
JAGGY	Notched
AEC	Former nuclear power org.
ESTA	"Cómo ___ usted?"
FASTCAR	Maserati, e.g.
FOLDS	Makes origami
ASFIT	Comparatively healthy
SUITE	Deluxe accommodations
RAVE	All-night party
EGRESS	It gives you an out
REO	Early auto
ENLAI	Zhou ___
SIDLE	Move like a 3-Down
SEMIS	Tournament round
OSU	The Buckeyes: Abbr.
RANG	Heralded
NIL	Nothing
GRIN	Smile
GENIE	What a rubber produces?
LFIXLEVIRHYOLDM	Secret message
XKE	Classic Jaguar
LALAW	Hit 1980's-90's NBC drama
HEADREST	Car safety feature
DITKA	Hall-of-Fame coach Mike
ELIE	Author Wiesel
ALI	Clay, after transformation
STEELE	English essayist Sir Richard
ENVIED	Coveted
NASTIES	Unpleasant ones
SEQ	Et ___ (footnote abbr.)
TIPOFF	Warn
ANNS	Landers and others
NURSE	Hospital figure
STASI	Former East German secret police
DEI	Opus ___
ZYXWVUTSRQPON	Other half of the decoder ring
ZITI	Tubes in the kitchen
YARN	Tale
XMEN	Marvel Comics heroes
STES	Jeanne d'Arc et al.: Abbr.
OKRA	Gumbo component
NEAT	Without ice
SIAM	Thailand, once
SEM	Relig. training ground
IRATE	More than hot
OKED	Gave the go-ahead
DUE	Company in Italy?
ETRE	French 101 verb
ESSES	Pluralizers
FRAU	Woman of the haus
MINN	Its motto is L'Étoile du Nord: Abbr.
DEIST	Thomas Jefferson, religiously
FATE	Inevitability
