APP	P.C. program
ADD	Recipe word
PRIMADONNA	Tantrum thrower
POLICERAID	Bust
OAFS	Graceless group
ONTHESIDE	Separately
ASIA	Java is in it
FIVECARDSTUD	Calls may be made in it
SNELLS	Fishing lines
PASEOS	Slow strolls
PECAN	Texas's state tree
ALACK	"Wellaway!"
SARK	One of the Channel Islands
EPOS	"Iliad" or "Odyssey"
OSLO	Edvard Munch Museum locale
SEEN	Beheld
DROWNSIN	Is overwhelmed by
WACK	Very bad, slangily
ELAPSE	Go by
DILATIVE	Causing to expand
CAROLE	King of pop
MICHAELJACKSON	King of Pop
JAMESMBARRIE	Baronet who wrote of a pirate
MACKE	Artist August ___ of the Blaue Reiter school
MISUSE	Manhandle
CLANK	Knight's noise
IDE	Suffix with brom-
SPASM	Burst
PEER	One may exert pressure
OLGA	Mezzo Borodina
OARS	Regatta participants
LIPREADERS	Silent types
GREENBERET	Military specialist
ASIDES	They might be in parentheses
SORRIER	Relatively wretched
RIPS	Home run swings
ECLAIRS	Attractive fingers?
CHAI	Spiced Indian tea
LARACROFT	"Tomb Raider" adventuress
UNAIDED	Helpless?
SHARPEI	Wrinkly-skinned dog
SNIPERS	Some antiterrorists
MARSRED	Carmine-orange hue
EADS	St. Louis's ___ Bridge
TIBIA	Part of the leg
IPECAC	Emetic root
ENE	Suffix with butyl
STUPA	Dome-shaped Buddhist shrine
SONAR	Echo finder
TROTS	Moves quickly
CRABS	Grumps
RINA	Femme fatale in "The Carpetbaggers"
MAILORDERBRIDE	Other half of another country?
MEWS	Kitty chorus
ALOT	Truckloads
INRE	Subject preceder
LIKE	Go for
BORN	Delivered
ELNINO	Cause of some droughts
CROONERS	Como and Columbo
SSE	Birmingham-to-Montgomery dir.
WORKAT	Strive to achieve
AIRFARES	Travel agency info
STEERS	Maneuvers
CENT	Small price to pay
STE	Bernadette, e.g.: Abbr.
