SHOTS	Immunizations
SHOD	Booted?
HOME	Web browser button
OLAF	Regal Norwegian name
TSHIRT	Underwear top
STAND	Request when the national anthem is played
CAMPS	Places for tents
CAST	Play group
AGUE	Malaria symptom
MERLE	Haggard of country music
PREYED	Victimized, with "on"
SST	Speedy jet to J.F.K.
SHO	HBO rival
SLINK	Move sinuously
HINDI	Language of Delhi
OBGYN	Future mom's doc
HOLST	"The Planets" composer
AGERS	Golden-___ (oldsters)
LIB	Ad-___
OMAHA	Nebraska's largest city
SURETHING	"Of course"
HISSAT	Condemn from the peanut gallery
DEFINITELY	"Of course"
ISUZU	Trooper maker
INDY	Memorial Day weekend event, for short
RDS	Fork providers?: Abbr.
EELSKIN	Leather from the sea
LOOSE	Untethered
WAFT	Float gracefully
WAWA	"S.N.L." character Baba ___
ABIT	Some
FETE	Grand banquet
UAR	Old Mideast inits.
ATTA	"___ boy!"
ROQUE	Court game
DOS	Beehives and others
ABE	"Honest" man
ZZTOP	"Sharp Dressed Man" band
ZONED	Like land in a city
PURR	Petted pet's sound
OASIS	Spring in the Sahara
SIPS	Doesn't guzzle
IOTA	Small quantity
SNAP	"___ out of it!"
WITHOUTQUESTION	"Of course"
HIDOUT	Avoided a dragnet
EASEL	Painting holder
ATEIN	Dined at home
AURAE	Holy radiances
PTA	Bake sale organizer, for short
DEL	Costa ___ Sol
LABILE	Apt to change
ERS	Hectic hosp. areas
ASAP	Letters akin to P.D.Q.
ARETHA	Franklin with soul
PAGODAS	Asian shrines
PACER	Harness racer
ALERO	Oldsmobile model
GORGE	Mountain climber's obstacle
SYNOD	Church council
EAR	Drum locale
AMASS	Pile up
ALOU	Baseball's Jesus
BYALLMEANS	"Of course"
ALMA	___ mater
LYON	City on the Rhone
ASIF	Like
NENE	Hawaiian bird
SAYS	Simon ___
CERTAINLY	"Of course"
ASS	Ninny
ATSEA	Confused
ERG	Fraction of a joule
SLOMO	Replays may be played in it
SHINY	Newly waxed
ROE	Fish eggs
SEDAN	Family car
SAFES	Upscale hotel room features
