MISHITS	Bad strokes
MEAT	Herbivores avoid it
INDO	___-Iranian languages
SCAR	Kind of tissue
HOMO	___ habilis
IMAN	Mogadishu-born model
TINTERS	Salon workers, at times
SATORI	Zen enlightenment
GIMPS	Walking difficulties
GIRL	Demoiselle
ISHOT	"___ the Sheriff" (1974 #1 song)
MAYBE	Evasive response
PATER	What Commodus called Marcus Aurelius
SCHON	"Bei Mir Bist Du ___"
ABUTTED	Was against
ATOM	Little bit
BORA	When repeated, part of French Polynesia
UPBIND	Put together, as pages in a book
TILLED	Worked the land
TAU	Kind of cross
ERE	". ___ he drove out of sight ."
DYS	Prefix with function
ENCOMIA	Panegyrics
ISAAC	Designer Mizrahi
TOPIARY	It needs to be kept in shape
ADAMANT	Not budging
RHYTHMORBLUES	Alternative music?
MRS	Partner, with "the"
TORONTOGLOBEORMAIL	Alternative newspaper?
GANGLY	Like a string bean
ERA	Several periods
TERNS	Fork-tailed fliers
NEARS	Is on the verge of
AISLE	Party divider, at times
RETAR	Fix, as a driveway, maybe
STAYS	Ignores one's wanderlust
ABHORRING	Detesting
ASIMOV	"The Stars, Like Dust" author
BONAMI	Comet competitor
HOLISM	Theory introduced by Jan Smuts
ONAN	"___ unrelated note ."
RAY	Beta follower
GEL	Firm up
FADDIET	The Zone, for one
FUR	Trapper's haul
ANN	Shakers founder Lee
SOONAS	A.S.A.P. section
GESTE	Tale of derring-do
SWEAR	Declare flat out
TODD	Taylor's third
ERG	Part of a joule
HUN	Marauder of yore
HORAE	Goddesses of the seasons
STA	Place for a platform: Abbr.
INLAY	Delicate decoration
ALLWORKORNOPLAY	Alternative lifestyle?
AUDIT	Check to the I.R.S.?
KATHY	Country singer Mattea
ORANG	Sumatran simian
PUNG	Boxlike sled
MAIN	Most important
MUY	"___ bueno!"
MAVS	Dallas squad, to fans
EDGAR	Literary prize
RUERS	Penitents
OMS	Mantra sounds
BAD	Rotten
BRUNO	Psychologist Bettelheim
CAD	Rotter
CORER	Tool used on pineapples
TASMAN	Dutch explorer with an island named after him
SKEET	Sport with pigeons
MIGS	Korean War sights
VIMORVIGOR	Alternative energy?
OMAN	Gulf of ___
GETON	Board
THEKINGORI	Alternative theater?
TARRY	Take one's sweet time
OHYEAH	Disbelieving cry
RENAME	Change tags
INANER	More nuts
MUSTER	Gather (up)
SAY	"That's really something!"
SOHO	Shaftesbury Avenue locale
EGG	Preceder of 74-Across?
HEN	Preceder of 73-Across?
REGAN	The Duke of Cornwall's wife, in Shakespeare
REAPS	Brings in
EAGLE	It balances out a double bogey
GROUP	Family
TENOR	A chorus line
NTH	Ultimate
WES	N.B.A.'s Unseld
WASHER	Leak preventer
MYNA	Mimic
MASC	Like "Spanish" in Spanish: Abbr.
EARNOSEORTHROAT	Alternative medicine?
SUE	Go after, in a way
ERR	Need correcting
OAT	It has a husk
PAEAN	Song to Apollo
PER	Part of a speed
AGO	Give it ___
URN	Piece on a pedestal
HOYAS	Big East team
SESAME	Kind of bagel
SATIATE	Gorge
PLUMPER	More filled-out
MAHLER	"Symphony of a Thousand" composer
PLAITS	Works with straw
THEARCHER	Sagittarius
EASTER	Rabbit season?
SEPAL	Floral leaf
SSGTS	Some Air Force NCO's
SAO	___ Miguel (Azores island)
SHRED	Bit
GOMER	Complaining, irksome patient, in medical slang
TRALA	Lilted syllables
SHREK	2001 DreamWorks hit
EAT	Get down
HANNAHORHERSISTERS	Alternative comedy?
NATE	Comic strip "Big ___"
NMEX	Chihuahua neighbor: Abbr.
EYRE	Fictional governess
SKED	TV exec's work
TERI	Actress Hatcher
ETNA	Where Enceladus is buried, in myth
REAL	Kind of number
SALS	"Do the Right Thing" pizzeria
WILLIAMORMARY	Alternative school?
WAF	Fem. auxiliary member
IRA	It can be rolled over
LII	Last chapter of Jeremiah
TAKETEA	Have an afternoon snack
ARIETTE	Rameau composition
EELER	Sushi restaurant supplier
ETERNAL	Never-ending
FAIRSEX	Women, to poets
DRAKE	Golden Hind captain
REDIALS	Corrects a wrong number
