CHIPPEDIN	Contributed
CHAMPS	Ticker-tape parade honorees
HOTTIE	Major babe
IMAGER	Graphics machine
PEN	State ___
PAYS	Is advantageous
ELCHEAPO	A tightwad
DOORS	Peddlers' stopping points
INSIPID	Flat
NETLOSSES	Boardroom worries
GALOP	Dance in double time
GAPS	Breaks
ALA	Russell Cave Natl. Mon. locale
LIBRETTO	Text
OBSESSOR	Preoccupied one
PITSTOPS	Break points?
HOMEALONE	Top-grossing movie of 1990
ALIBI	Out
ATANYCOST	No matter what
PABST	First brewery to put beer in cans
MTG	Part of an office sched.
SHRILLS	Screeches
LOT	Studio site
RES	___ gestae (transactions)
PIET	Artist Mondrian
TERSEST	Clipped the most
ESPOO	Finland's second-largest city
WEST	Point to the left
WANTSIN	Desires to participate
SERENA	Rival of Venus
NAISH	"Sitting Bull" star, 1954
ISTHATSO	"Oh, really?"
HOIST	Davit
RAPIDS	Area of danger
INARREARS	Behind
ONTOP	Good way to go out
FISSION	Energy producer
FATALIST	One who's resigned
ICESOVER	Freezes
SHESGONE	1976 hit by Hall & Oates
EDITORS	Cosmopolitan people?
DESTINES	Earmarks (for)
ACHES	Pounds, e.g.
ASSESS	Do taxing work
STEELIE	Agate alternative
TEESHIRT	Souvenir shop item
ICH	German self
STIRPS	Lines descending from a common ancestor
ROOKER	Swindler
PRFIRM	Spinning group
STANDS	Carnival units
ASST	Kind of principal: Abbr.
CREPT	Pussyfooted
PRADA	Fendi competitor
NORT	Hall-of-Fame college swimming coach ___ Thornton
LOG	Diary
CHEERIO	"Ta-ta!"
CYST	Skin problem
OAST	Place to hold hops
OFA	___ piece (alike)
IVORY	Subject of a commercial trade ban
RDA	Fig. expressed in percents
ALANARKIN	Actor whose debut film was "The Russians Are Coming! The Russians Are Coming!"
RHO	Chi ___ (religious symbol)
SENDS	Radios
RIDESHERD	Oversees, with "on"
TREAT	Doctor
SEASTORMS	Hurricane origins
