SIPS	Small drafts
SEC	See 58-Down
ICH	Potsdam pronoun
PHASEONE	Multistep process starter
SOILAGE	Green crops cultivated for fodder
HAMLIN	Vice president after Breckinridge
HUMPHS	Snorts of disdain
AGATHA	She created Hercule
MSN	Alternative to AOL or Juno
LOO	Bath bathroom
IMF	Global lending org.
NETS	Cross-court items?
FCC	Govt. media monitor
FLEXOR	Limb bender
COBENA	Detroit venue for sporting events and concerts
CADRES	Training groups
ECHO	Return from a mountain?
UGSOME	Dreadful, old-style
LOA	Mauna ___
CHAIRMANOFTHEBD	Person making firm decisions
REC	It's done for fun, for short
HOBBY	It's done for fun
SLEPT	Wasn't up
SOXER	Bobby-___
TOEACHHISN	"Different strokes for different folks"
TACO	___ Bell
OGOD	Psalm start
ISP	AOL or Juno
SHAT	"Big deal"
NATS	D.C. diamond squad
BONE	Radius, e.g.
AGOG	Intensely interested
SASHA	Vujacic of the Los Angeles Lakers, who's nicknamed "The Machine"
BRAS	Cup holders?
CONES	Alternatives to cups, in dessert orders
SIS	Granny, to a great-aunt
PATTY	Something to throw on the BBQ
TKO	Ref's call
ODE	Salute in stanzas
IQS	Mental figures
QUAH	Thick-shelled seafood selection
SARA	Tony-winning "Spamalot" actress Ramirez
TSK	Click of condescension
PER	On the authority of
PUTONICE	Shelve for a while
ESTE	City in Padua province
REOS	Antique autos
USUAL	It's nothing new, with "the"
UNCLE	Cry when you've had enough
LEN	"Live Free or Die Hard" director Wiseman
OFUSE	Not worthless
FOREPAW	What Fido "shakes hands" with
JEAN	Pirate Lafitte
JUSTSO	To a T
ESCHEW	Abstain from
AMORAL	Unconcerned with scruples
AREAS	Country statistics
ASHTON	"Punk'd" host Kutcher
SHALES	Some are bituminous
OTTO	Maestro Klemperer
USMC	Parris Isl. outfit
HANSHEROES	1960s sitcom set at a camp
EVE	Brink
SCOLD	Chew out
DEMI	With 1-Down, moderately sweet, to a vintner
HAVEN	Place to escape to
THREELITTLEPIGS	Storybook group residing in this puzzle?
LON	Hoops coach Kruger
INC	Magazine with an annual "500"
TRA	La-la lead-in
GRR	[Mumble, mumble]
SEE	"Comprende?"
SEA	It has a very large bed
MONROE	"Niagara" star, 1953
ACRE	Plot piece
OWL	Athena's symbol
INCANS	Pachacuti's people
WERE	Be in a certain mood?
