RISES	Greets the day
RATE	Amount charged
IMOK	"Nothing's broken"
SILENTCAL	30th president, informally
ENE	Opposite WSW
SOTHERE	"Told ya!"
ASIGN	"___ of the Times" (Petula Clark hit)
ASHES	Gray flakes
SHOD	Like show horses
ION	Charged particle
GREENTEA	Beverage at a Japanese restaurant
NESTLED	Got comfy
SHO	HBO rival
SCANS	Pictures put into computers
HABIT	A bad one should be kicked
OPEC	Oil cartel
AMINO	___ acid
SHORE	Beach
CAP	Lens protector
TOLET	For rent
HONESTABE	16th president, informally
THIS	"Get a load of ___!"
EKE	Barely make, with "out"
HUED	Colored
URN	Samovar
ETHNIC	Italian or Jewish, e.g.
NLERS	Braves, Mets and Cubs, for short
LULU	Humdinger
ENLIST	Join the service
EASYA	Class that doesn't require much studying
INTURN	By order of succession
ICET	"Original Gangster" rapper
NYSE	Nasdaq rival
BATES	___ Motel, in "Psycho"
BUBBA	42nd president, informally
CYCLE	Go by bike
FUSED	Stuck together
FULLY	Throughout
TSK	"For shame!"
THEGIPPER	40th president, informally
SIRE	Father
KNEE	Midleg
ESAU	He sold his birthright to Jacob
DUBYA	43rd president, informally
DEALMEIN	Request for a hand
THIN	Waiflike
TENT	Circus site
TEL	No. on a business card
MELBA	___ toast
MOBILES	Hanging sculptures
DEERE	Tractor maker
DUCKPIN	Bowling target
KOALA	Eucalyptus eater
KILT	Bit of Scottish attire
BUNGEE	Daredevil's cord
BAR	Sot's spot
GLIBLY	How fast-talkers talk
GRIFT	Cheat, in a way
LETON	Reveal
CACTI	Desert plants
CANOE	Dugout, e.g.
PRELIM	Early game in a tournament
PLUM	Prune, before drying
MARK	Discontinued German money
MEIR	Israel's Golda
PAM	Popular cooking spray
APPT	Date with a D.D.S., e.g.
MYTH	Story from Olympus
LITTLEBEN	23rd president, informally
BEA	"Don't ___ stranger"
PUPPY	Litter member
UNO	One, to Juan
UFO	ET carrier
EIEIO	Refrain in "Old MacDonald"
INEPT	Bungling
MTN	Everest, e.g.: Abbr.
SNARE	Catch
NORTH	Grant's side in the Civil War
