ROBE	Luxury hotel amenity
RUSE	Flimflam
OPAL	Off-white shade
BAUM	Creator of Oz
ETC	Abbr. that may precede an ellipsis
PSAT	Some exam practice, for short
PAPAL	Like a certain court
START	Sign of fright
AANDE	Owner of The History Channel
TDS	Instant replay subjects, for short
THIS	"Get ___!"
TERESA	Mother ___
HARDKNOCKS	Providers of life lessons
IDO	Words with a familiar ring?
SEL	"S" on a French shaker
UPAT	Show ___ (attend)
ATAD	Somewhat
READE	"Hard Cash" author Charles
REPAINT	Put a new coat on
SAUCEPANS	Farberware set
ELIS	"___ Coming" (1969 Three Dog Night hit)
ERROL	Film director Morris
ELM	Word with red, white or rock
LARD	Baker's supply
APED	Copied
ABROAD	Overseas
FILTERBASKET	Coffee maker component
FRS	Priests: Abbr.
RAISE	Summon up
ENTAIL	Require
TATTLE	Get in trouble, in a way, with "on"
IBARS	Some beams
ISAACS	Susan who wrote the best seller "Compromising Positions"
BALBOA	Sighter of the Pacific, Sept. 25, 1513
ASIANMONEY	Yen or yuan
ARIANNA	Huffington of the Huffington Post
SASS	Talk that might get one in trouble
AMNION	Embryonic membrane
AHERNE	1939 Academy Award nominee Brian
MESTA	Political hostess Perle
NWT	Yukon neighbor: Abbr.
OTT	Hitter of 511 lifetime home runs
ALI	HBO's "Da ___ G Show"
CHEWSAT	Bothers
CREOLES	Some bayou residents
CAT	Excavation machine, for short
ABA	Dr. J's first pro league
RESTED	Post-vacation, say
SKIL	Home tool maker
SIN	Wrong
CONCERT	It may fill a hall
CDROMS	Software backups, typically
LISLE	Twisted thread
LOAD	Put shells in
SAMDONALDSON	Longtime ABC newsman
LAIRS	Hideouts
DIXIE	Classic song with the words "Look away! Look away! Look away!"
SWEDE	Singer of the anthem "Sång till Norden"
ORLE	Heraldic border
AIWA	Sony subsidiary
QUA	Sine ___ non
QUIT	Computer command
UTNE	___ Reader
ASKS	Solicits
CANOE	It's often turned upside down when not in use
CIN	Red letters?
ATA	___ gallop
MIXEDNUTS	Party snack (and a hint to this puzzle's circled letters)
MAI	Avril follower
NOU	___-turn
ITEMS	Bullet followers
ARID	Sterile
OINK	Cry at Old MacDonald's
NAYS	Side in a debate
ISEE	"It's so obvious!"
UTES	Mountain West Conference team
