ITHAD	"___ better be!"
ITSY	Minute, informally
THAT	"Not ___!"
HELDWATER	Wasn't full of holes
ARM	The Adriatic vis-à-vis the Mediterranean
DEADTORIGHTS	Red-handed
DIE	Factory staple
DOYENNE	Helen Thomas in the White House press corps, e.g.
IRE	Boiling point?
EEK	Cry of surprise
ETAL	Abbr. in a "works cited" list
ELAPSE	March on
TORAH	It contains 613 mitzvot
ARESO	"... love's shadows ___ rich in joy!": Romeo
LEAST	___ of all
THERESMORE	"I'm not done yet!"
SHAH	Onetime C.I.A.-backed foreign leader
MARIO	Plumber seen in an arcade
LORE	It's passed on
SALMAHAYEK	Oscar-nominated portrayer of Frida Kahlo
AREA	Discipline
YTD	Financial statement abbr.
DARE	Reason to make a prank call, maybe
IPASS	What a player may mean by knocking on the table
IRISHWHISKEY	Mayo sauce?
WITHINEARSHOT	Relatively close
IMAC	Computer debut of 1998
EELS	They might store electric charges
ASICS	Nike rival
ALAMO	Subject of the 1955 film "The Last Command"
ASSN	Part of M.P.A.A.: Abbr.
LIPO	Slimming option, for short
ONESIE	Baby shower gift
SITARS	Band members with long necks?
SARAH	Fast Eddie's girlfriend in "The Hustler"
ELIS	Many students on "Gilmore Girls"
LGA	It's 11 miles NNW of JFK
LEYDENJAR	It might store an electric charge
GAZE	It's often piercing
ARES	Vultures were sacred to him
SPECIAL	Something not on the menu
LAIR	Refuge
SCHMEAR	Roll top?
MAIN	Cardinal
NOR	Certain correlative
GRAB	Really appeal to
BRONZED	Like many beachgoers
SWAYZE	Early TV news commentator famous for doing Timex ads
CHAIRS	Heads up
CELLED	Single-___
SWOON	Become rapturous
HIDES	Makes scarce
FREETHROWLINE	Where a fouled player might go
FJORD	Product of glacial erosion
REPAY	Square things
ELATE	Make rapturous
LEOS	Independent, noble types, it's said
JELLS	Crystallizes
NOES	Passage blockers
NHL	Stars participate in it: Abbr.
HOME	Typist's position
LEES	Remains
OPAL	Pendant option
BAZOOKAJOE	Comics character with a "gang"
BOW	It comes after the last number
APE	Troglodyte
ASP	"My baby at my breast," in Shakespeare
RATE	Not be a nobody
OPENSESAME	Passage enabler
DYED	Not natural
WED	Bond
YPRES	City in 1917 headlines
