BEATLE	Mophead
BOCKS	Strong beers
EBONY	Key color
ARSON	Flame throwing, maybe
TIMBER	Fall preceder?
LEIS	Vacation souvenirs
ENC	Abbr. in a business letter
PUFFS	Dessert pastries
PARSEC	3.26 light-years
URGE	Spur
FLEA	Bother for a boxer
FOR	Because of
STY	It's a mess
MELDED	Scored in bezique
MORAN	Western landscapist Thomas ___
EDOM	Land south of Judah
LEN	Football Hall-of-Famer Ford
DIARYSUPPLEMENT	Addendum to a log?
ENGINES	They might backfire
DEEPEST	Like some sympathies
OBRIEN	"1984" conspirator
CARLOT	Where lemons are picked?
CUTEST	Most doll-like
CODEINE	Opium compound
CIAO	"Later!"
COSMICSURGERY	Fixing the space-time continuum?
SACKS	Gridiron stat
IRONAGE	It started a little before 1000 B.C.
KNOBS	Controls
ATSEA	Baffled
MAAM	Thank-you-___
MRED	First-of-a-kind 1960's TV star
RIP	Pants problem
SYNE	Ago, in Aberdeen
CEE	Average
AARON	High priest in Exodus
ANTHER	Flower part
ACES	Top-notch
TYNE	Newcastle's river
TIBIAS	They connect to the knees
ROCKSCIENCE	Geology?
ONEILL	Ed of "Married...With Children"
CAST	Players
IFALL	"___ goes according to plan..."
EATUP	Gobble
VISES	Migraine headaches, so to speak
VOL	Calculus calculation: Abbr.
AIM	Ability to hit a target
ASSYRIA	Semiramis's realm
INTOUCH	Communicating
MARKRESEARCHERS	People who study cuneiform?
NAST	Donkey drawer
FATED	Inevitable
GOBUST	Lose everything
GUEST	Talk show chatter
SNARES	Part of a percussion section
RAE	Arctic explorer John
PATHS	Courses
PAISA	Coin of Pakistan
TULIP	___ tree (Indiana state tree)
TWERP	Little nothing
STRAIT	Commercial passage
VALUE	Worth
VANNA	Woman of letters?
OWE	Be attributable (to)
OCEAN	Most of the world
APAL	"Be ___!" ("Come on!")
AUREATE	Golden
LEADSIN	Ushers
YOKEL	Rube
RAILPRICES	Amtrak fares?
ROOTS	TV event of 1977
INCAS	Old foes of the Spanish
SLUE	Turn about
RUR	Capek drama
LIONS	Barry Sanders and teammates
IDEAL	Model
NERTS	"Nonsense!"
SLOVAK	Bratislava resident
ERA	1970's-80's cause
ICET	Singer who co-starred in "Johnny Mnemonic," 1995
TORTES	Caloric cakes
DONATORCAP	Limit placed on PBS?
TOAMAN	Without exception
OLIOS	Stews
RETRO	Like 70's fashion, now
LAMED	Limping, maybe
ARA	Coach Parseghian
AHSO	Words from Mr. Moto
ETA	Efficiency symbol, in physics
OLEAN	Modern fat substitute
BOREAS	North Wind personified
BANC	Judge's seat
ERMAS	"Aunt ___ Cope Book"
MED	Kind of school
GAITS	Dogtrot and foxtrot
GREW	Shot up
AVANTI	Successor car to the Studebaker
BOATEL	Off-shore lodging
BASHFUL	Blushing
OCARINA	Harmonica-like instrument
ARMOR	Set of plates
ASAN	Comfortable ___ old shoe
ANNA	"The King and I" role
ATESTS	Bikini events
NINTH	New York's General Post Office is on it
TEN	Time to play taps
ACRED	Like a landowner
SEASONTICKS	Arachnids that appear over the summer?
NEREID	Sea nymph
STRIVE	Labor
SACS	Some Oklahoma Indians
SPAWN	Beget
SPEED	Hurry
PARD	Western friend
EEN	Fabric name ending
TWOS	Counting method
WIVES	Marries, perhaps
ODETS	"None But the Lonely Heart" writer/director
SERTA	Sealy competitor
HRH	Queen Eliz., e.g.
SPAN	Attention ___
SITE	Home page
VERST	Experienced, old-style
VSIX	Motor with some oomph
EIRE	Its flag is green, white and orange
BRIDE	Vow taker
BRAD	Small fastener
FIERIER	More hot-tempered
RAH	"Go get 'em!"
ROSIETHERIVER	Waterway named for a talk show host?
ROT	"Baloney!"
OSA	Mother bear, in Málaga
ECO	Prefix with terrorist
UNRATED	Like some foreign movies
OSIRIS	God of death who underwent resurrection
CAVETT	Three-time Emmy-winning host
LASHED	Bound
TAXED	Like most store items
ODESSA	Texas oil city
