BOORS	Rude sorts
BUDGE	Move a bit
OBIES	Theater awards since 1956
OOZES	Moves like molasses
RAZZ	Bronx cheer
STYE	Eyelid woe
HUM	Play a kazoo
HIE	Hotfoot it
USA	___ Today
MONTEZ	Exotic dancer Lola
UNJAM	Fix, as a photocopier
UNEASE	Fidgety feeling
NEXT	Barber's call
JAX	The Jaguars, on scoreboards
ATO	___ Z (the gamut)
MON	Start of the work wk., for many
UBOAT	Naval convoy menace
ISO	Prefix with metric
NEATO	Supercool
DIZZYDEAN	Pitcher of baseball's Gas House Gang
DRUZE	Syrian/Lebanese religious group
EXXON	Speedpass-accepting gas company
GEEZER	Old codger
TOAT	Exactly
ORO	___ y plata
ESS	Man of Steel's symbol
UTTERS	Says
TZAR	Russian autocrat: Var.
TYLENOL	Popular reliever of aches
FWD	Pass along, as an e-mail: Abbr.
FLORA	Fauna's partner
WENDY	"Peter Pan" heroine
DRESS	Get decked out
FUZZYZOELLER	Golf's 1984 U.S. Open winner
FANNY	Keister
UMS	Vocal stumbles
LAUDE	See 57-Across
HASAMEAL	Dines
HOPON	Motorcyclist's invitation
AMAZE	Knock the socks off
SEIZE	Take forcibly
AONE	Top-shelf
OMENS	Signs to heed
REM	Sleep phase, for short
MOUE	Pouty look
CURDS	Cottage cheese, essentially
CNN	Anderson Cooper's channel
PAIN	Ibuprofen target
NOONDAYS	Lunchtimes, typically
ORTIZ	Baseball's David, nicknamed "Big Papi"
OZZYOSBOURNE	Patriarch on an MTV reality show
OCEANS	Vast amounts
SHE	That ship
BANJOS	Dixieland instruments
NEE	Born, on the society page
CHALET	Skier's lodging
SSS	Draft org.
STETS	"Keep it in" notations
SOFAS	Love seats, e.g.
SOFTY	Kindhearted sort
KEEN	Like an eagle's vision
KNEW	Had down pat
IDOTOO	"Same goes for me"
DYES	Tattooist's supply
OJAI	Town near Santa Barbara
MAGNA	With "cum" and 32-Down, a diploma phrase
MIG	Russian fighter
ANN	Cape ___, Mass.
GPA	4.0 is a great one
JAZZYJEFF	The Fresh Prince's partner DJ
AVE	Forum greeting
ZAP	Microwave
INPEN	How the confident solve
OVA	Eggs, in labs
EATAT	Really bother
GNAWS	Really bothers, with "at"
SEP	Equinox mo.
SISSY	Girlie man
