ADZE	Woodworking tool
ALVA	Thomas ___ Edison
DILL	Salmon garnish
ZEAL	Fervor
EDDA	Snorri Sturluson work
TESLA	Real-life scientist played by David Bowie in "The Prestige," 2006
TIM	Late newsman Russert
ELI	With 10-Down, ABC series starring Jonny Lee Miller
SIR	Walter Scott title
LANA	Superboy's crush
ADAGIO	Samuel Barber's "___ for Strings"
STAR	Dwarf or giant, maybe
STONE	See 6-Down
TIKI	"Kon-___"
ATOZ	All-inclusive
ROVE	Travel the country
LIED	Perjured oneself
ILIAD	Work that begins "Sing, goddess, the wrath of Peleus' son ..."
TITO	Older brother of Michael Jackson
VLADIMIRNABOKOV	Writer who created the character Vivian Darkbloom
INTO	Preoccupied with
BORNE	Carried
ALLAN	Edgar ___ Poe
AGONIZE	Suffer
TABS	Keep ___ on
ARCS	They may be drawn with compasses
BROKAW	Tom who wrote "The Greatest Generation"
SIMILAR	Akin
IRE	Spleen
JIMMORRISON	Singer who nicknamed himself Mr. Mojo Risin'
JIHAD	Fanatics wage it
ISITI	Last Supper query
METES	Doles (out)
MESA	Badlands sight
SATIRE	"Saturday Night Live" genre
QUA	Sine ___ non
QATAR	Doha's land
UNITE	Hook up
ASSAY	Analyze, as ore
ISEE	Words said with a nod
COMA	Unwakeful state
EVANS	Newspaperman Harold
VITO	Don Corleone
HITS	The 40 of the Top 40
SKITS	"Saturday Night Live" bits
SADE	Marquis de ___
ITIS	End of an illness?
ATEAM	Mr. T series, with "The"
MEYER	"The Great Gatsby" gambler Wolfsheim
ALIA	Inter ___
TATA	"Toodles!"
DIS	Talk smack about
EDWARDGOREY	Author/illustrator who used the pseudonym Ogdred Weary
DERATE	Lower the allowed electrical capacity of
GLEN	Narrow valley
LYE	Caustic cleansing agent
LTGEN	Three-star officer: Abbr.
REEL	Stagger
MISTERX	Unidentified man
MARS	Location of Olympus Mons
INIT	Still alive
SAFE	Out's opposite
XMAS	Brief holiday?
ELITE	Upper crust
LAMA	One-L person, in an Ogden Nash poem
IMAX	Big movie fan's option?
TELL	Distinguish
ESTE	Dirección from which the sun rises
ANAGRAMMEDNAMES	What the clues for 17-, 27- and 48-Across all contain
MIT	Cambridge sch.
ENE	Suffix with ethyl
DTS	The shakes, for short
RIFE	Teeming (with)
TAINT	Besmirch
MALT	Shake alternative
STEN	British gun
ESTES	Adlai's 1956 running mate
AXLE	Revolutionary car part?
