BLUFFS	Bargaining ploys
BRIDAL	Kind of gown
LENAPE	Delaware Indian
USEDTO	Unfazed by
FORD	Crossing point
FURY	Wrath
SNOW	It's not seen on cable TV
BABBAGE	Mathematician Charles
BARBIE	Toy since 1959
ABOUT	More or less
BRUCEWAYNE	Cartoon millionaire created by Bob Kane
BANK	C.D. seller
ADDSUPTO	Signifies
GEE	"Oh, my!"
EDD	Baseball Hall-of-Famer Roush
RESOUND	Ring out
DRAWNIN	Attracted
ABRADED	Worn down
INERROR	Barking up the wrong tree
ROUNDED	Kind of vowel in "loop"
DADDYWARBUCKS	Cartoon millionaire created by Harold Gray
RAGS	Glad ___
APT	Well-chosen
WAITE	1987-91 Mideast hostage Terry
UFO	Blinking light, maybe
FEED	Rancher's purchase
ORES	They're often unearthed
LEO	Regulus's constellation
RANGE	Golf course adjunct
RICHIERICH	Cartoon millionaire created by Alfred Harvey
AWAY	On vacation
WIPER	Squeegee
INRE	Concerning
KIWIS	Fuzzy-skinned fruits
KITH	Friends and neighbors
SANTEE	River formed by the Congaree and Wateree
SLIT	Cut open
MOHICAN	Chingachgook, for one
MADE	Fashioned
OPEL	German automaker
HALFSOLE	Worn part of a shoe
FLYRODS	Casting choices?
FARLEFT	One end of the political spectrum
APATHY	Voters' problem
MAINE	Something to remember, with "the"
MOOG	Synthesizer innovator Bob
DELHI	Capital successor to Calcutta
FORTE	Particular strength
FROSTS	Makes translucent
SET	Agreed upon
SOUSED	Blotto
ENCASE	Protect, in a way
TEKWAR	William Shatner sci-fi novel
ELF	Little one
ERROL	Jim's portrayer in "Gentleman Jim"
ROSIE	Archetypical W.W. II metalworker
ONE	It might be broken into quarters
SCROOGEMCDUCK	Cartoon millionaire created by Carl Barks
CHIC	Nattily dressed
MOHS	___ scale
CREE	Ontario natives
DERN	Actress Laura
BOOHISS	Displeased spectator's cry
BIB	It's hung around the neck
OLE	"Bravo!"
FORESAW	Anticipated
ILLICIT	Unauthorized
THERESA	Maria ___ (Hungarian queen)
BEECHES	Shade trees
SENDER	E-mailer
