TIEGAME	Draw
TADA	Relative of "voila"
IZOD	Name associated with crocodiles
ETNA	European hot spot
GETRSE	Deteriorate
ACR	From left to right: Abbr.
MARLO	Actress Thomas of "That Girl"
ENYA	Grammy winner for "A Day Without Rain"
WARNING	Blinking light, maybe
WALKED	Went on strike
AROAR	Cacophonous
RMS	Apt. parts
NETRKTV	Regular national programming
INRE	Reference preceder
NILE	Christie setting
GADS	Wanders
AZTECAN	Kind of calendar with 18 months
ARMENIA	Georgia neighbor
DONTRRY	"Relax!"
LOSTRLD	Classic sci-fi story, with "The"
ADAR	Purim time
LAIKA	First dog in space
IMNOTRTHY	"Wayne's World" catchphrase
REES	Children's author Ennis
SFO	West Coast air hub, for short
FEDERAL	Architecture style of 200 years ago
MERCK	Medical manual maker
CANDACE	"Sex and the City" author Bushnell
EMCEE	Person with a mike
EXMET	Darryl Strawberry or Rusty Staub
MIAMI	Big East team
CILIA	Lashes
IND	Polit. label
IDI	First name in despotism
ATLAS	Charles ___
LETGO	Free
AIRED	Broadcast
SLUMS	Housing problem
XII	Top of a dial
DADO	Pedestal part
AXE	Can
UNVEIL	Reveal
UNE	French article
MAL	Adroit beginning?
EXITUND	Evidence of a shooting
UHS	Inarticulate pauses
TRU	Robert Morse theater role
EMIGRE	New arrival
GRANTOD	Noted painter of American rural life
RHEA	Goddess whose children were swallowed by Cronus
GEM	Beauty
TIARA	It tops a queen
PTS	Goals, e.g.: Abbr.
PASHAS	Former Turkish V.I.P.'s
CLODS	Clumps
LASTRD	Discussion conclusion
ALLAH	Praised name
LATKE	Hanukkah treat
TEA	Social event
TULLE	Tutu cloth
ATON	Gobs
AFBS	Andrews, Langley, etc.: Abbr.
TOAT	Exactly
ORZO	Pasta used in soups
ASYOU	Shakespearean title starter
OFFS	Ices
SOSA	Swinging Sammy
OREO	Snack since 1912
SMUG	Confident of one's superiority
ASPS	Old Egyptian symbols
FORTRTH	Home of the Star-Telegram
ROG	Baseball's Maris, for short
FLATRMS	Some parasites
AAA	Minor-league
BAZOOKA	Rocket launcher
FLAREUP	Erupt
STODGES	Old fogies
SEADOGS	Tars
