ABACI	Simple adding devices
ASSAM	State in NE India
BEEPS	Sonar sounds
ADAPT	Suit to the circumstances
CASE	Steve ___, founder of 6-Down
INCASH	Some payments are made thus
AMAHL	Starring role in a Menotti opera
AOL	See 4-Down
MLLE	Srta., in France
ADOS	Stirs
HIPPOS	Sizable zoo animals
LES	Strasbourg article
BET	Stake money (on)
BOTTOMSUP	Saying before a big drink
ERIE	Sandusky's lake
TEXT	Student's book
SEDAN	Subaru Impreza, e.g.
OLDIE	Song from the past
ORE	Smeltery input
SEASCALLOPS	Surf serving #1
ALERO	Stylish Oldsmobile
TIX	Sales at a box office, slangily
APPEAL	Sex ___
ESP	Sixth sense
STET	Symbol in proofreading
STARMAN	Sci-fi film of 1984
MST	Salt Lake City zone: Abbr.
SET	Sink, as the sun
TIPINS	Some easy baskets
ONTO	Sign ___ (accept, as a program)
NCAA	Sports org. with a March tourney
SHRIMPSCAMPI	Surf serving #2
SLACKEN	Slow down
MEDEA	Sorceress of myth
PROWLS	Searches for prey
POCO	Slightly, in music
INKS	Signs, as a contract
DAHL	Screenwriter/novelist Roald
DABS	Smidgens, as of cream
ALUM	School grad
HITORMISS	Scattershot
OPER	Switchboard worker: Abbr.
ARSON	Setting of a fire maliciously
ALIAS	Stage name
SHED	Storage building
IDO	Solemn wedding words
AMUCK	Sort of way to run
BUTCH	Sundance Kid's partner, ___ Cassidy
NEWS	Six o'clock broadcast
SMAZE	Smog relative
APOS	Sgts. and lts. get mail at them
SMOKEDSALMON	Surf serving #3
DOCTOR	Strangelove or Kildare
ONEDGE	Stressed out
REDO	Start over
SAN	Salvador lead-in
AWS	Sounds of disappointment
ALOFT	Skyward
WOLFE	Stout detective Nero ___
STEER	Stay (clear of)
HYMN	Song of praise
HAMM	Soccer star Mia
YMCA	Swimming pool site, for short
CHI	Sorority letter
HURL	Sling
IFSO	Supposing that
ZEALOT	Serious fan
ASAN	Straight ___ arrow
AMI	"So ___!" ("Me, too!")
STUFFEDSOLE	Surf serving #4
SHO	Schedule abbr. for cable viewers
FEN	Swamp
MCS	Show hosts, for short
HORSE	Steed
GAFFE	Social blunder
MAS	Some advanced degs.
ORLON	Synthetic fiber
ENTER	Step into
