PARE	Lessen, with "down"
PAINS	Growing ___
AGNEW	1973 resignee
REEVE	Noted superhero portrayer
ERRED	Went wrong
WBC	Org. for which Lennox Lewis was champion
WWII	What some vets recall: Abbr.
BEAN	Protein source
CELT	Irishman, e.g.
CHASSE	Gliding dance step
CHARON	Soul transporter
HURRIER	The White Rabbit, notably
ANNULMENT	Union buster?
SKIP	Record problem
SECT	It's broken off
ERA	Part of B.C.E.
AGER	Antiquing aid
WEE	Infinitesimal
HUNKER	Squat (down)
INERTIAL	Like some natural forces
TREYS	Low cards
ARNICA	Flower tincture once used as a salve
NEVERINTERRUPT	Start of some advice
ERE	Palindromic conjunction
SWEDE	Queen Christina, e.g.
ROIL	Vex
YOURENEMIES	Advice, part 2
OAS	Grp. of which Cuba is a member
UGH	"Get that away from me!"
REESE	Hall-of-Fame shortstop
ITER	Passage in Latin
ERIE	Where Commodore Perry prevailed
SOLD	Auction cry
BRASSAGE	Historic period in metallurgy
BROW	Perspiration location
RUSH	Blitz
ASCI	Fungal spore sacs
SEALSKINS	Arctic cover-ups
RETRO	Like some fashions
RUSE	Shenanigan
SHEIK	Classic Valentino role, with "the"
ICY	Causing skidding, maybe
KER	Plop preceder
NEIL	Diamond of records
OSCAR	Hollywood's holy grail
RETINUE	Attending group
SCEPTRED	Like a British sovereign
PESTO	Basil-based topping
WHILETHEYRE	Advice, part 3
TONGED	Took hold of, as oysters
HAG	She's no Venus
STOA	Athenian hub
SCALA	Milan's La ___
CALIF	Where Paradise is: Abbr.
AKELA	Cub Scout leader
LEOII	Pope of 682
ASNER	Seven-time Emmy winner
MAKINGMISTAKES	End of the advice
MOVE	Bit of game play
AXES	Sacks
MNOP	Alphabet quartet
IANS	Hunter and others
SPAT	Tiff
BOXING	Olympic sport
BAM	It's a hit in the comics
NAPOLEON	Author of the advice
AVENUE	Means of approach
ONA	___ diet
ILIE	First name in 1970's tennis
MESSED	Slipped (up)
PST	S.F. hours
FAIR	O.K.
