AMBIT	Circuit
AQUA	Pool shade
MUNG	Kind of bean
BADE	Wished
ISR	Modern site of ancient Caesarea: Abbr.
THERULES	Things to follow
CDS	Some I.R.A. contents
CASSOCK	Close-fitting robe
DEEPFRY	Prepare, as onion rings
SRS	39-Across members: Abbr.
GANGS	Prison problem
GOSEEK	Hide's partner
ADHEM	Hunt's "Abou Ben ___"
NEEDI	"___ say more?"
GOBEL	George with a 1950's comedy/variety show
SNARL	Tie up
QUASH	Void
AER	___ Lingus
ODEON	Milton's "___ the Morning of Christ's Nativity"
UNDRESSES	Strips
SANE	Right-minded
SHEBA	Missing dog in an Inge title
AGE	Bio info
RASP	Farrier's aid
SEEDER	Garden tool
SHEEN	Gloss
RUNOFTHEMILL	Ordinary
RTREV	Prelate's title: Abbr.
TEL	Bus. card abbr.
BATTLECREEK	Michigan city of 50,000 that's home to a Fortune 500 company
BANE	Cause of one's undoing
AWOL	Unaccounted for
TAME	Subdued
AWARE	Self-___
KYLE	Actor MacLachlan of "Blue Velvet"
RAMS	Butts
RUBIK	Early 1980's craze maker
AGIN	Not fer
MAZE	Part of a lab experiment
STAR	Headline
NOMESS	"E-Z"
SATIN	Some upholstery material
NOUGAT	Sweet snack
OILCLOTH	Durable table covering
ELEV	Info along a mtn. road
AARP	Powerful D.C. lobby
ARS	"___ Poetica"
RECHOSE	Picked anew
PARADOX	Catch-22
IBIZA	Island WSW of Majorca
STREAMLINER	Sleek train
SCORER	Goal kicker, e.g.
MILE	Hiker's measure
FRANCISCRICK	Nobelist who co-discovered the structure of DNA
FREDA	1970's singer Payne
REMUS	Legendary twin
AGENT	Representative
NIECE	One who cries "Uncle!"?
REGION	Mideast or Midwest
HALL	Campus site
JAB	Sharp criticism
JURY	Group of 12, maybe
ALOE	Soothing stuff
BLTS	They may be stuck with toothpicks
EMEER	Mideast bigwig
RODEOBULL	It's worth at least a couple bucks
RIM	Canyon feature
BAA	Lea plea
DUNCE	Fool
ISO	Prefix with butane
TAROT	Wheel of Fortune holder
ASTER	Late bloomer
MEX	Nafta signer: Abbr.
HAYES	First president to visit the West Coast while in office
