PEDALER	Biker
PICS	Photos
EMOTE	Be theatrical
DINES	Takes to Sardi's, say
ATTACH	Sew on, e.g.
LARK	Symbol of happiness
ETA	Terminal info
REB	Yiddish Mr.
BUGLE	Source of a wake-up call
BANNER	Newspaper attention-getter
URDU	Language of Lahore
GRAB	Capture
LOGS	Fireplace fill
EWE	Fleecing target
MATCH	Lighter alternative
MANIA	Beatle follower?
ARAB	Hussein I, for one
TOW	Stalled driver's request
CLASSIFIEDADAGE	Proverb not meant to be repeated?
HEROINE	Emma or Jane Eyre
IMITATE	Parrot
ARROW	Something to follow
CAROLER	One going door-to-door, maybe
CURVE	Pinup feature
REPAID	No longer outstanding, in a way
CONTRABANDAGE	Item in a smuggler's first-aid kit?
ASSET	Black ink item
UNAWARE	Napping, so to speak
STEAK	Kind of sandwich
SNUBS	Affronts
CRIB	Need for a new arrival
CAGE	Pet pad
SOP	Bread at a meal
ESC	Key abbr.
BASE	Private area?
BONES	Leakey discovery
AVID	Gung-ho
JAVA	Site of a noted fossil find
JAYS	Crows' cousins
ASIA	32-Across is part of it
ALARM	Firebox feature
HOOVERDAMAGE	Dent in a vacuum cleaner?
OUNCE	Prevention measure?
DOUGH	Mazuma
AXIOM	Principle
MENSA	Brains belong to it
BLINI	Shrovetide serving
BETTE	Wide-eyed Davis
SEA	See 95-Down
SIESTA	Break of day?
ENTAILS	Necessitates
ATHLETESFOOTAGE	Film shot at the Olympics?
UNIT	Ton, for one
OXEYE	Small round window
LEAFED	Flipped (through)
LEIGH	O'Hara's portrayer
INTONED	Performed a canticle, e.g.
OILS	Art store stock
RUINS	Archaeological site
ROGER	With 67-Down, "Moonraker" star
PETRI	Kind of dish
PHASE	Period
ETHICS	Subject of a Congressional committee
LOGOS	Firm symbols
LIST	Santa's reference
HITMEN	They're given money to waste
NEGATED	Voided
SALLE	Room with a vue
HIGHMASSAGE	Rubdown at a mountain resort?
HAITI	Santa Maria wreck site
SHAKE	Fountain order
SAGS	Doesn't hold up well
DEM	Like L.B.J.
MESSRS	Abbr. before multiple surnames
TIES	Affiliations
EASE	Naturalness
EXERT	Put forth
HASH	Jumble
SAGE	Wise guy
SOON	By and by
ALT	Key abbr.
EXITRAMPAGE	Mad rush to get out?
ERASE	Obliterate
ACTED	Entered the picture?
MOORE	See 48-Down
POLYP	Coral producer
SODAS	Fountain orders
SLANG	Bad, for good
SECRET	Not meant to be repeated
CHEST	Place for a medal
COOKS	Dish makers
FLOATS	Fountain orders
FRIAR	Frock sporter
SHARI	Lewis with Lamb Chop
STOLE	Wrap
SUIT	Something to follow
GRANGER	Homestead holder
GATE	Scandal suffix
SAFEST	Least risky
SCARES	Finds, with "up"
ALLOVER	Finished
QUERY	Seek information from
QUAY	Jetty
VAIN	Like some attempts
VSIGN	Triumphant gesture
EDS	People who get the last word in?: Abbr.
CLOSE	Like best friends
GUIDEPOSTAGE	Expense incurred in mailing a handbook?
GHANA	Gold Coast locale
OPIATE	Narcotic
EMERGE	Materialize
ALOT	Loads
CHAT	Rap
CROIX	St. ___ (river to the Mississippi)
PIER	Embarkation location
MAD	Ticked
APART	In pieces
DOGIE	Stray on the range
ROT	Baloney
DRAY	Heavy cart
DIVA	Met attraction
CRAIG	Jenny with a program
CREE	Algonquian language
ROSS	With 40-Across, McMurdo Sound locale
APES	Captors in a sci-fi classic
DEPOT	Embarkation location
DONE	Accomplished
TEAR	Floor it
EVASION	Unsatisfying reply to a question
SOL	Helios's Roman counterpart
DROPANCHORAGE	Take Alaska off the tour itinerary?
DRJ	Hoops legend
CST	Chi hrs.
HAW	Command to Dobbin
SEGOVIA	Classical guitar great
RESET	Make zero, maybe
SANGRIA	Punch with a kick
RELAX	Chill, so to speak
JESSE	James or Jackson
TWEETER	Speaker part
