TACTIC	Gambit
TIFF	Short row
ADIA	Top 5 song by Sarah McLachlan
CONK	Bop
TIDE	"The washday miracle" sloganeer, once
IDI	Notorious Amin
CONJOB	Flimflam
BADHAIR	Kind of day
BAHT	Thai currency
ALIT	Settled
DIMAGE	Minolta digital camera
HEW	Fell
ANA	Santa ___ winds
IES	Plural suffix
REPEAL	Abrogate
CEMENT	Fix permanently
CARLOAD	Family of five, say
ESE	Saskatoon-to-Winnipeg dir.
MILDEW	Storage problem
ETUI	Decorative needle case
NICE	"Good one!"
TSKS	Expresses disapproval
IDOIDO	Emphatic yes
ALIENEE	Heir, in legal terminology
ASITIS	The way things stand now
FINDINGHIMWASPURELUCK	Recommendation for a chronically absent employee?
GELEE	Moisturizing lotion
UNLET	Empty, as an apartment
FAKE	Sham
JETTA	Volkswagen model
ENL	Photo lab abbr.
DIES	Goes out
AOL	MSN competitor
ANDI	"___ quote ..."
GOITALONE	Solo
OVUM	Egg
IAGO	"We cannot all be masters, nor all masters / Cannot be truly 'd" speaker
TBONDS	Some low-risk investments, briefly
NTS	Some Windows systems
HESUNBELIEVABLEATWORK	Recommendation for a dishonest employee?
HEATH	Moor
ELLIE	"Dallas" matriarch
SAINT	Good-hearted soul
UNC	Dad's bro
LEASH	Collar attachment
IONIA	Ancient region bordering the Aegean
ODORS	Targets of baking soda
RIGEL	Double star in Orion
KISSY	Affectionate, slangily
ELAND	Spiral-horned antelope
EEO	Fair-hiring letters
UGO	Actor Tognazzi of 1978's "La Cage aux Folles"
TDS	Passing concerns?: Abbr.
DII	Early sixth-century date
ALICIA	Keys who won five Grammys for her debut album
ANKLES	Robes may touch them
ANEMONE	Showy flower
ERNST	Surrealist Max
EEE	Specialty shoe width
LOGS	Records
LOUSY	Miserable
TIN	Like some ears
NOSIR	Polite denial
OCTAL	Having eight pins, as an electrical connection
DEFT	Adroit
FREES	Lets go
TILDES	Marks in Spanish class
ORES	Tram loads
HETOOKCHANGESERIOUSLY	Recommendation for an employee who stole petty cash?
OBESE	Really big
OER	Key preposition
GOO	Muck
EXUDE	Radiate
OMB	Fed. money overseer
BELT	Wallop
SOX	White or Red follower
ELMS	Stately stand
WEWEREALLTOUCHEDBYHIM	Recommendation for an employee guilty of sexual harassment?
WEIGH	Ponder
ENNUI	Opposite of get-up-and-go
WORMS	Computer network menaces
LOU	CNN's Dobbs
LENTIL	Soup choice
COATI	Raccoon relative
HUNAN	Spicy cuisine
HURST	Novelist Fannie
INNIE	Certain navel
MOOED	Responded to a cattle call
ENOS	Son of Seth
SLOE	Gin flavoring
DOUSE	Extinguish
UNO	Family-friendly card game
INRE	Memo opener
UNCLEAN	Dirty
CAST	Start fishing
LOBE	Leaf feature
STERNO	Buffet warmer
TEAK	Like some patio furniture
ELS	Two-time U.S. Open champ
GUM	Orbit, for example
OFA	___ mind
OKS	Gives the nod
FISHNET	Trawling gear
ALAMO	The Cradle of Texas Liberty
TAO	Chinese "way"
TAB	Computer key
BGIRL	Saloon floozie, slangily
ELSIE	Dairy pitcher?
HISSKILLISBEINGWASTED	Recommendation for an employee who was chronically drunk?
SARTRE	He declined the 1964 Literature Nobel
LUSTER	Brilliance
EDUCED	Brought out
WRAITH	Spirit
ASSAULTED	Set upon
IRK	Tee off
SPUR	Incentivize
SWAM	Went from bank to bank?
PAVE	Smooth over
USER	Not-so-straight shooter?
HMS	Letters at sea
UMBRA	Dark area
MANE	Barn locks?
BLTS	Some lunch orders
MOMA	N.Y.C. cultural attraction
MGRS	Nonunion employees: Abbr.
OHOH	"Oops!"
MINE	Greedy cry
AMES	Treasonous Aldrich
WASTENOTIMECALLINGHIM	All-purpose ambiguous job recommendation
ESS	Curve shape
ILE	It's surrounded by eau
MES	Mayo, por ejemplo
EMI	Record label inits.
NYU	Manhattan sch.
AVERSE	Not inclined
ELEMENT	Mercury, for one
TYRONE	Power in old movies
MEREST	Least
RESIDES	Lives
HUSHES	Silences
