CAN	Pink-slip
CEASE	Discontinue
ANVILS	Forge things
NOEXIT	Sartre play set in hell
ALTO	See 118-Across
ACHY	Sore
LIES	Inventions
TOPO	"___ the morning"
ONOFF	Switch words
OCHO	Twice cuatro
ONTHEGO	Busy
CORE	Geological sample
HUAC	Blacklisting org. of the 50's
ONION	Cheese steak topper
DIAPER	Its user can't change it
DUODENAL	Like some ulcers
INFO	Dope
ADA	Oklahoma county seat
PILEUS	Mushroom cap
ENABLE	Permit
REDBUD	Pink-flowered tree
ENO	Musician Brian
SCION	One in a line
STATIC	Winter buildup, at times
NOUN	Subject word
UNDINE	Water nymph with a fatal kiss
AVE	Bygone greeting
THEPORTRAITOFALAD	Unfinished Henry James work about Gainsborough's "Blue Boy"?
RTE	Trip choice: Abbr.
TNN	Viacom-owned cable channel
SIXDAYSOFTHECONDO	Unfinished James Grady work about time-sharing?
DORAS	"Dumb" one and namesakes
EBB	Reflux
ELIOT	"Mr. Apollinax" poet
FEE	Late ___
NNE	Ft. Myers-to-Daytona Beach dir.
ZULU	Last letter in radio lingo
ZIG	Go southwest to go south, say
STRIATE	Streaked
ALSORAN	Defeatee
TOTO	Film dog
ECOL	Life sci.
GAT	Heater
ARM	Hand waver?
TKOS	Round ends?
NOISED	Talked a lot
ONSCREEN	In the movies
ACLOCKWORKORANG	Unfinished Anthony Burgess work about a punctual primate?
KNISH	Potato turnover
WETMOP	Floor cleaner
ODELL	Newbery-winning author Scott ___
REWED	Like Liz Taylor, many times
HISS	Unwarm welcome
HAS	Eats
IMITATE	Mirror
SIGHSAT	Expresses boredom with
STONE	Building material
MODELS	Showroom display
ISH	Suffix with bull or bear
INSIPID	Flat
SOONEST	How urgent tasks should be done
HEF	Mag magnate
AMI	Bon ___
COOLIT	"Settle down!"
COMANCHE	Texas Ranger foe
SEW	Put in stitches
CANOE	Paddle, in a way
ANKA	"Dance On Little Girl" singer
SIGNOR	Milanese mister
NEHI	Beverage company formerly known as Chero-Cola
SMIT	Struck, old-style
IWO	___ Jima
TOOKTO	Became fond of
LEARNSOF	Hears
ABRADED	Worn
THEMANWHOWOULDBEKIN	Unfinished Rudyard Kipling work about a future son-in-law?
NANAS	Grannies
WHOMP	Trounce
UHAUL	Trailing business?
HASHANAH	Rosh ___
HST	Presidential inits.
POOH	Noted honey eater
REAPED	Collected
DMV	Lic. issuer
STAIN	Soil
NOB	Head, slangily
BOYS	Restroom label
KASDAN	"The Big Chill" director
SNOB	Many an egotist
DEVO	"Whip It" band
ISM	School of thought
TET	Holiday in which to say "Chuc mung nam moi!"
CLAMOR	Commotion
LEECHING	Sucking the life from
RWR	Presidential inits.
TUNED	Ready to be played
EDTV	1999 Ron Howard film
EMCEE	"And now ..." sayer
THESPYWHOLOVEDM	Unfinished Ian Fleming work about James Bond's affection for his boss?
TNT	It may come with charges
HOPEFOR	Desire
DISHES	Set pieces
SWANEE	George Gershwin's first hit song
SCOTTO	Soprano Renata
WARHOL	Pittsburgh's ___ Museum
ASCEND	Climb
SRO	Like some hotels
BODICES	Peasants' wear
EMDASH	Colon substitute
SIESTA	Rest of the afternoon
CAST	Result of a big break?
CBS	Cab fixtures
BEG	Ask for
SNIPS	Impertinent ones
PIC	Subject of Variety ballyhoo
IDS	Recognizes, briefly
CAPRA	Best Director of 1934, '36 and '38
SEMIS	Round of four
SAPPY	Mawkish
ORC	Mythical monster
THENAKEDANDTHEDEA	Unfinished Norman Mailer work about strip-searching narcotics smugglers?
TRIO	The Police, e.g.
ANAT	Med. school class
KOLA	Kind of nut
NEON	Luminous sign
DCON	Big name in pest control
TIME	Proctor's call
THEORIGINOFSPECIE	Unfinished Charles Darwin work about mints?
OKD	Green-lighted
ASP	Adder relative
TONKIN	Gulf of ___, next to Hainan island
PALO	With 4-Across, part of Silicon Valley
ROOMS	Some reservations
STP	Engine-cleaning brand
OLDDOG	Nonlearner, proverbially
STAR	One assigned to a bomb?
ANNE	Fantasy author McCaffrey
HAY	Stable diet
