TENCENTS	Small tip
TYR	One-handed Norse god
EEE	Shoe designation
NAG	Noodge
CHAD	McQueen of movies
ESTEFAN	"Conga" singer
NUTCASE	Loony
TRASK	"East of Eden" family name
SES	French possessive
LOADS	A ton
LEGHORN	Chicken that's a prolific egg layer
ONLOW	Far from blasting
ABATE	Fall off
DIRER	More terrible
STEPS	Dance set?
YEAHSURE	"Likely story"
HENBIT	Weed of the mint family
HAMLIN	Lincoln's first Vice President
REGATTAS	Shells may be in them
AGLARE	Blazing
DECS	Christmas times: Abbr.
IMHOTEP	Egyptian god shown holding a scroll
IFEEL	Words before "Fine" and "Pretty" in song
SLA	Hearst's captors: Abbr.
SPOTS	Some are blind
LANAI	Stoop in Hawaii
ALLOT	Set apart
FAKEFLOWERS	They're often made of silk
EMPATHY	Understanding
PALMAS	Las ___, Canary Islands
MIST	Spray
MEIR	Associate of Dayan
ONLINE	Connected, nowadays
PENNAMES	Ellery Queen and others
AXEL	Skating maneuver
MOODY	Dour
EULER	Solver of the Königsberg bridge problem
STARS	Shiners
TAOS	Site of Kit Carson's grave
WAL	Opening of a retail store?
WHAMS	Has quite an impact on
XOUT	Strike
SITTIGHT	Don't act
IBERIAN	Basque, e.g.
GLEANS	Learns little by little
AREOLA	Pupil surrounder
AMRADIO	Its range is about 500-1700 kHz
RUSTIER	More out of shape
BLAH	Hardly thrilling
MULDER	Fox's Fox
DEEDEEMYERS	"Equal Time" co-host, once
DAMES	Iris Murdoch and others
ENOLA	___ Gay
EGRET	Protected bird
DONNA	"The Secret History" novelist Tartt
EBERT	Hindenburg's predecessor
YRS	Age abbr.
ANGORAS	Some cats
BATH	Cleaning solution?
HAVE	Include
MORNIN	Wake-up call?
MEDIATES	Acts between parties
MGS	British sports cars
TEM	Pro ___
ERA	Time piece?
SSN	1040 ID
ELENAS	Tennis's Makarova and others
GRIEVERS	Sorrowful souls
SATAN	Bad lover?
STOREMAN	Merchant
