AMEERS	Bahraini V.I.P.'s: Var.
ALSTON	1997 New York City mayoral candidate
MATADOR	Focus of a bull session?
EBONITE	Comb rubber
ERN	East extension
RAGU	Brand name with an accent on it
STUN	Wow
CHARGED	Kind of atmosphere
CAPITALP	DuPont has one
HARES	Leporine leapers
AMID	During
RIM	Fringe
GLAMOUR	Cosmopolitan competitor
ENTOMBS	Lays away
DEEPEST	Like the divers' end of the pool
LABRATS	They may be given test runs
SEIKO	Watch word
AAMILNE	Creator of a bear market?
STONGUE	Dorothy Parker had one
PRIMATE	Man, for one
TAN	Go for the bronze?
UNIFIED	Made one
FIVEPSACK	Sugar or flour purchase
MOP	Hair stylist's challenge
ODIE	Jim Davis's dog
ESTELLE	One of the Costanzas, on "Seinfeld"
KITS	They're used to fashion models
COME	Dog command
CRUMBLE	Fall apart
NOTSO	"Uh-uh!"
ORZO	Soup pasta
OVA	They can be fertilized
RUBS	Annoyances
RETRO	Back in
ORI	Mouth: Prefix
ELMHURST	Chicago suburb
MOT	Bon ___
HEAP	Great deal
EZRAPPOEM	"Homage to Sextus Propertius," e.g.
ANDANTES	Some movements
SIRLOINS	Good ranch stock?
SECEDES	Breaks away
IMAGINE	Picture
RIPOSTE	Zinger, maybe
TABLA	Sitar accompaniment
LATTICE	Grating pattern
ATTACHE	Executive's burden
EMIL	"Man in Revolt" author Brunner
DAR	Women's org. since 1890
REMAP	Plot differently
PLATO	Xenocrates' mentor
OUTNED	In the minority
CAPE	2-Down's accessory
LACE	Irish export
LUSTS	Commits a deadly sin
ETTU	Dying words
EGO	It's inflatable
JUNKMEN	Sanford and son
JUNE	Busy time for ministers
ETAL	Roster abbr.
NONE	Zero
TAT	Make 50-Across
DISGUST	Turn off completely
GER	E.U. country
ATOMICN	Lead statistic
MAV	Dallas player, briefly
ENTENTE	Rapprochement
PANACHE	Dash
SEERESS	Woman of the future?
LEVEED	Did a bank job?
