HANA	Mandlikova of tennis
HIPPIE	One with a pad, maybe
ADORNS	Trims
NOLESS	At least
ALIST	Party desirables
SLIM	Narrow
SLID	Declined
LACE	Mennonite decoration
IVAN	Former Wall Street insider Boesky
MALTED	Fountain order
ACHOO	Cold response?
AMA	Org. for an OB/GYN
CADDY	One who's left holding the bag
HOMELAND	Old country, maybe
ORES	Meteor materials
OINK	Pen sound
IDOL	Any of the Beatles, once
LAVA	Rolling rock
MAORI	Language akin to Tahitian
POLITICAL	Kind of system
TIS	"___ Autumn" (Woody Herman hit)
ADMEN	Ones quick with a line?
PRESIDENTS	Washington V.I.P.'s
STL	N.L. Central team: Abbr.
DESK	Secretary, e.g.
INSTS	Sci. facilities
ETHYL	Antiknock fluid
HEROD	Biblical king
ESS	Obsolescent suffix
BEADLE	Mr. Bumble's position in "Oliver Twist"
BTU	A.C. letters
EAR	Stalk outgrowth
ANACT	Put on __
ART	Verb with thou
RCA	VCR maker
THY	Lord's Prayer pronoun
TITAN	Cronus or Oceanus
TUB	Primitive percussion instrument
IGORS	Roles in "Frankenstein" movies
RANCH	Salad option
ANY	Even one
INAUGURATIONDAY	Cause for swearing
ICE	Harbor problem
NOW	When, for an eager beaver
AMERICAN	Cheese type
TIL	Dusk-___-dawn
INE	Chemical suffix
COMBO	Band
CINDY	"The Brady Bunch" girl
EWE	Milk source
RATTLE	Danger signal on the prairie
AIM	"Fire" preceder
TEABAG	It gets in hot water
AHA	"Caught ya!"
ARRIVE	Achieve success
HITTER	One trying to run from home
ADHERE	Cling
ROSIE	Paper towel hawker, in old TV ads
OFAGE	Adult
ARRID	Mitchum competitor
AFR	A continent: Abbr.
ROTES	37-Across oaths, e.g. [or] 37-Across parades follow them
WAIF	Ragamuffin
WISP	Trace
ANTI	Oppositionist
MARCHFORTH	Prior to the 20th Amendment, what 20-Across would do on 37-Across, or when they would do it
RIGA	Capital occupied by the Germans in 1941
CPAS	Figureheads?
HASP	Lock securer
INCAN	Of an old empire
NED	"The Simpsons" neighbor
BIPARTITE	Like Congress
STAGE	Limelight milieu
AGAS	Turkish chiefs
EVER	In any case
PINED	Sighed (for)
GASP	Hand-over-mouth reaction
SERE	Dry
