BETA	Test version
BOSC	Winter pear
EPIC	Grand
TEAL	Florida Marlins color
ARMED	Dangerous partner?
ARARAT	Genesis terminus
ALS	Capp and Capone
REEF	Site of many a shipwreck
ANTI	Prefix with matter
ROWE	T. ___ Price (investment firm)
ARIL	Seed covering
TENDSTO	Looks after
ATM	Keypad location
ATEIT	Took the loss
TOSCA	"Vissi d'arte" opera
MOLES	Some spies
OPER	Button below TUV
LENORE	Poe maiden
TOO	To boot
SIAMESETWIN	Eng, for one
EFREM	Violinist Zimbalist
ESL	Alien's subj.
CCLEF	Staff symbol
FIELDMICE	Meadow denizens
MRSULU	Crewmate of Capt. Kirk
DRE	Eminem collaborator, informally
EMIGRE	Asylum seeker, perhaps
SRTAS	Mex. misses
SDS	Grp. opposed to the Vietnam War
SMUT	Blue prints?
DASH	Salt amount
SKEE	___-Ball (arcade game)
EMO	Modern music genre
ONEIS	"___ the loneliest number"
NATS	M.L.B. team with a "W" insignia
NATAL	Brazilian seaport
ADONIS	Dreamboat
MAKEMINEADOUBLE	Bar request
EDAMES	Mingo player on "Daniel Boone"
ETC	Yadda yadda yadda
BAER	Max of the ring
LIEN	Claim against property
ETNA	Italy's Mt. ___
USED	Like many products on eBay
GETTO	Irk
LAIT	Bébé's intake
THEAFRICANQUEEN	1951 film named for a boat
FORSTER	"Howards End" novelist
QUINN	Zorba player
MOES	Springfield tavern
LIU	Lucy of "Kill Bill"
RNA	Messenger ___
ASTER	Provider of some fall color
ACERB	Sharp-tasting
SLATE	Online current affairs magazine
TARED	Deducted from the gross weight
SIL	R.S.V.P. part
LUKAS	"Witness" actor Haas
CLASSTRIP	Museum visit, maybe
THAI	Asian cuisine
RESP	Legal defendant: Abbr.
ILIE	1976 loser to Bjorn at Wimbledon
PIES	Pizzas
NUBIA	Nile Valley region
BIBI	Israel's Netanyahu, familiarly
INEZ	Don Juan's mother
AGEE	Winner of a posthumous Pulitzer
EAR	Plug place
THELIONKING	"Circle of Life" musical
ORT	Scrap for Rover
RTE	U.S. hwy., e.g.
EASIER	Less tough
ABEE	"Sting like ___"
BED	With 70-Across, what the end of 17-, 33-, 42- or 63-Across describes
RIPEST	At the peak of maturity
SIZE	See 68-Across
